Prov/Terr,FED ID,Federal Electoral Districts_x,Total,Total Income,Net Income,Taxable Income,Income per Resident,Province,Federal Electoral Districts_y,Population,Electors,Polling Stations,Valid Ballots,Percentage of Valid Ballots,Rejected Ballots,Percentage of Rejected Ballots,Total Ballots Cast,Percentage of Voter Turnout,Party Won
12,12005,Halifax,72440,3582762000,3290294000,3209508000,49458.33793,Nova Scotia,Halifax,92643,73379,208,53032,99.5,259,0.5,53291,72.6,Liberal
12,12006,Halifax West,75220,3719510000,3389142000,3331581000,49448.41797,Nova Scotia,Halifax West,87275,70515,238,50079,99.6,181,0.4,50260,71.3,Liberal
12,12007,Kings--Hants,67220,2632211000,2429195000,2353692000,39158.15234,Nova Scotia,Kings--Hants,83306,67213,218,46686,99.6,202,0.4,46888,69.8,Liberal
12,12008,Sackville--Preston--Chezzetcook,69410,3231041000,2949533000,2896662000,46550.07924,Nova Scotia,Sackville--Preston--Chezzetcook,85583,68040,196,48301,99.6,180,0.4,48481,71.3,Liberal
12,12009,South Shore--St. Margarets,78020,3192345000,2938695000,2823590000,40917.00846,Nova Scotia,South Shore--St. Margarets,92561,76181,253,52775,99.6,226,0.4,53001,69.6,Liberal
12,12010,Sydney--Victoria,60190,2074518000,1928247000,1829330000,34466.15717,Nova Scotia,Sydney--Victoria,73328,59994,202,40974,99.4,236,0.6,41210,68.7,Liberal
12,12011,West Nova,70150,2465920000,2288974000,2183204000,35152.10264,Nova Scotia,West Nova,83654,67059,227,45679,99.4,271,0.6,45950,68.5,Liberal
TOTAL,,,753400,31281331000,28778623000,27861290000,41520.21635,,,,,,,,,,,,
13,13001,Acadie--Bathurst,68360,2408636000,2248847000,2130475000,35234.58163,New Brunswick/Nouveau-Brunswick,Acadie--Bathurst,79340,66799,237,50963,99.3,336,0.7,51299,76.8,Liberal
13,13002,Beauséjour,69250,2802172000,2578629000,2499544000,40464.57762,New Brunswick/Nouveau-Brunswick,Beauséjour,80416,66891,215,52936,99.4,320,0.6,53256,79.6,Liberal
13,13003,Fredericton,64650,2913354000,2638116000,2585539000,45063.48028,New Brunswick/Nouveau-Brunswick,Fredericton,81759,61947,168,46722,99.6,188,0.4,46910,75.7,Liberal
13,13004,Fundy Royal,64050,2806496000,2559719000,2503047000,43817.26776,New Brunswick/Nouveau-Brunswick,Fundy Royal,79331,63089,193,46820,99.5,241,0.5,47061,74.6,Liberal
13,13005,Madawaska--Restigouche,52220,1832242000,1694801000,1603950000,35086.97817,New Brunswick/Nouveau-Brunswick,Madawaska--Restigouche,62540,50907,171,37306,99.1,348,0.9,37654,74,Liberal
13,13006,Miramichi--Grand Lake,48480,1614641000,1504310000,1431317000,33305.30116,New Brunswick/Nouveau-Brunswick,Miramichi--Grand Lake,59343,48331,160,36364,99.3,256,0.7,36620,75.8,Liberal
13,13007,Moncton--Riverview--Dieppe,75080,3066088000,2813633000,2734771000,40837.61321,New Brunswick/Nouveau-Brunswick,Moncton--Riverview--Dieppe,89484,71982,192,52041,99.4,311,0.6,52352,72.7,Liberal
13,13008,New Brunswick Southwest,53530,2193562000,2013000000,1955252000,40978.18046,New Brunswick/Nouveau-Brunswick,New Brunswick Southwest,66197,51729,180,37926,99.4,220,0.6,38146,73.7,Liberal
13,13009,Saint John--Rothesay,64080,2708692000,2491646000,2411785000,42270.47441,New Brunswick/Nouveau-Brunswick,Saint John--Rothesay,82129,61722,176,42281,99.5,205,0.5,42486,68.8,Liberal
13,13010,Tobique--Mactaquac,55650,2068388000,1919871000,1841232000,37167.79874,New Brunswick/Nouveau-Brunswick,Tobique--Mactaquac,70632,54145,184,38427,99.4,248,0.6,38675,71.4,Liberal
TOTAL,,,615360,24414271000,22462573000,21696913000,39674.77737,,,,,,,,,,,,
24,24001,Abitibi--Baie-James--Nunavik--Eeyou,62830,2472070000,2268438000,2096956000,39345.37641,Quebec,Abitibi--Baie-James--Nunavik--Eeyou,85475,63632,191,34518,98.3,609,1.7,35127,55.2,NDP
24,24002,Abitibi--Témiscamingue,83840,3553223000,3263713000,3113290000,42380.99952,Quebec,Abitibi--Témiscamingue,102794,82968,272,49729,98.5,741,1.5,50470,60.8,NDP
24,24003,Ahuntsic-Cartierville,89820,3651245000,3341924000,3199294000,40650.69027,Quebec,Ahuntsic-Cartierville,110473,83208,223,55567,98.9,630,1.1,56197,67.5,Liberal
24,24004,Alfred-Pellan,80660,3671183000,3340429000,3250928000,45514.29457,Quebec,Alfred-Pellan,98045,78524,207,55169,98.8,679,1.2,55848,71.1,Liberal
24,24005,Argenteuil--La Petite-Nation,78070,3008332000,2753204000,2624076000,38533.77738,Quebec,Argenteuil--La Petite-Nation,94208,78836,245,51066,98.8,601,1.2,51667,65.5,Liberal
24,24006,Avignon--La Mitis--Matane--Matapédia,60560,2004118000,1857036000,1736367000,33093.09775,Quebec,Avignon--La Mitis--Matane--Matapédia,74547,60890,215,36356,98.9,416,1.1,36772,60.4,Liberal
24,24007,Beauce,88070,3340556000,3072492000,2927140000,37930.6915,Quebec,Beauce,106337,85698,263,55882,98.7,712,1.3,56594,66,Conservative
24,24008,Beauport--Limoilou,77740,2895465000,2630215000,2499872000,37245.49781,Quebec,Beauport--Limoilou,92944,78799,220,50558,98.2,941,1.8,51499,65.4,Conservative
24,24009,Bécancour--Nicolet--Saurel,78150,2962666000,2699822000,2560419000,37909.9936,Quebec,Bécancour--Nicolet--Saurel,93779,78734,231,52205,98.2,958,1.8,53163,67.5,Bloc Québécois
24,24010,Bellechasse--Les Etchemins--Lévis,95240,3978108000,3598643000,3464461000,41769.29861,Quebec,Bellechasse--Les Etchemins--Lévis,112385,92719,277,62598,98.7,824,1.3,63422,68.4,Conservative
24,24011,Beloeil--Chambly,93070,4730364000,4275851000,4182707000,50825.873,Quebec,Beloeil--Chambly,109955,91204,260,66438,98.6,950,1.4,67388,73.9,NDP
24,24012,Berthier--Maskinongé,86630,3128449000,2870437000,2721300000,36112.76694,Quebec,Berthier--Maskinongé,98590,82996,267,54406,98.5,844,1.5,55250,66.6,NDP
24,24013,Thérèse-De Blainville,81070,4276452000,3878944000,3792250000,52750.11718,Quebec,Thérèse-De Blainville,98499,79440,216,56248,98.2,1007,1.8,57255,72.1,Liberal
24,24014,Pierre-Boucher--Les Patriotes--Verchères,81490,4596476000,4138628000,4041962000,56405.39944,Quebec,Pierre-Boucher--Les Patriotes--Verchères,95326,78855,226,59390,98.7,800,1.3,60190,76.3,Bloc Québécois
24,24015,Bourassa,76510,2201845000,2056031000,1911683000,28778.52568,Quebec,Bourassa,100286,71070,184,41129,98,859,2,41988,59.1,Liberal
24,24016,Brome--Missisquoi,86810,3686925000,3365344000,3231960000,42471.20147,Quebec,Brome--Missisquoi,98616,85118,255,58675,98.8,716,1.2,59391,69.8,Liberal
24,24017,Brossard--Saint-Lambert,87080,4502396000,4080467000,3973207000,51704.13413,Quebec,Brossard--Saint-Lambert,100828,83766,215,57260,99.1,549,0.9,57809,69,Liberal
24,24018,Rimouski-Neigette--Témiscouata--Les Basques,71590,2706354000,2480406000,2350015000,37803.52004,Quebec,Rimouski-Neigette--Témiscouata--Les Basques,84809,70182,220,44946,98.9,493,1.1,45439,64.7,NDP
24,24019,Charlesbourg--Haute-Saint-Charles,86940,3795622000,3410151000,3331679000,43657.94801,Quebec,Charlesbourg--Haute-Saint-Charles,103331,84830,228,58256,98.5,866,1.5,59122,69.7,Conservative
24,24020,Beauport--Côte-de-Beaupré--Île d’Orléans--Charlevoix,78450,3347711000,3004793000,2905556000,42673.18037,Quebec,Beauport--Côte-de-Beaupré--Île d'Orléans--Charlevoix,92496,76528,230,50456,98.4,846,1.6,51302,67,Conservative
24,24021,Châteauguay--Lacolle,80680,3228119000,2960335000,2854637000,40011.39068,Quebec,Châteauguay--Lacolle,92169,76129,213,51782,98.3,909,1.7,52691,69.2,Liberal
24,24022,Chicoutimi--Le Fjord,67730,2791741000,2518639000,2422121000,41218.6771,Quebec,Chicoutimi--Le Fjord,81501,66821,186,43805,98.3,745,1.7,44550,66.7,Liberal
24,24023,Compton--Stanstead,84090,3390685000,3094919000,2983644000,40322.09537,Quebec,Compton--Stanstead,101946,82237,244,55811,98.7,748,1.3,56559,68.8,Liberal
24,24024,Dorval--Lachine--LaSalle,89220,3444489000,3166322000,3036348000,38606.69132,Quebec,Dorval--Lachine--LaSalle,106886,85769,225,54605,98.9,593,1.1,55198,64.4,Liberal
24,24025,Drummond,83520,3059781000,2821965000,2687402000,36635.30891,Quebec,Drummond,98681,81455,229,51979,97.9,1098,2.1,53077,65.2,NDP
24,24026,Gaspésie--Les Îles-de-la-Madeleine,66600,2301317000,2142291000,1975138000,34554.30931,Quebec,Gaspésie--Les Îles-de-la-Madeleine,78833,65783,212,39617,99,395,1,40012,60.8,Liberal
24,24027,Gatineau,84100,3650914000,3317476000,3227443000,43411.58145,Quebec,Gatineau,106424,84377,226,57800,99.1,522,0.9,58322,69.1,Liberal
24,24028,Hochelaga,84010,3117228000,2865582000,2734368000,37105.43983,Quebec,Hochelaga,103436,83088,232,51904,98.3,877,1.7,52781,63.5,NDP
24,24029,Honoré-Mercier,82230,3126954000,2875687000,2766299000,38026.92448,Quebec,Honoré-Mercier,102587,79033,211,51658,98.7,682,1.3,52340,66.2,Liberal
24,24030,Hull--Aylmer,78560,3671923000,3322330000,3233826000,46740.36405,Quebec,Hull--Aylmer,103447,79329,218,55440,99.3,391,0.7,55831,70.4,Liberal
24,24031,Joliette,87230,3169174000,2902700000,2747753000,36331.23925,Quebec,Joliette,100683,86287,272,56689,98.1,1109,1.9,57798,67,Bloc Québécois
24,24032,Jonquière,73300,3009821000,2713249000,2614105000,41061.67804,Quebec,Jonquière,87596,73099,219,48103,98.2,899,1.8,49002,67,NDP
24,24033,La Pointe-de-l'Île,85660,3261445000,2981606000,2859471000,38074.30539,Quebec,La Pointe-de-l'Île,103512,84769,236,55226,98.4,912,1.6,56138,66.2,Bloc Québécois
24,24034,La Prairie,86550,4300209000,3893936000,3809318000,49684.67938,Quebec,La Prairie,99811,82472,212,57572,98.3,996,1.7,58568,71,Liberal
24,24035,Lac-Saint-Jean,86780,3206237000,2920456000,2781819000,36946.72736,Quebec,Lac-Saint-Jean,105783,85445,260,55279,98.4,925,1.6,56204,65.8,Conservative
24,24036,Lac-Saint-Louis,85610,5153291000,4661921000,4545647000,60194.96554,Quebec,Lac-Saint-Louis,108795,85870,232,62312,99.5,321,0.5,62633,72.9,Liberal
24,24037,LaSalle--Émard--Verdun,86460,3170405000,2920704000,2789515000,36669.03771,Quebec,LaSalle--Émard--Verdun,105317,84192,225,53763,98.5,823,1.5,54586,64.8,Liberal
24,24038,Laurentides--Labelle,97600,3790926000,3469041000,3306624000,38841.45492,Quebec,Laurentides--Labelle,111357,96848,302,63173,98.4,1030,1.6,64203,66.3,Liberal
24,24039,Laurier--Sainte-Marie,92870,3960077000,3647436000,3499168000,42641.07893,Quebec,Laurier--Sainte-Marie,107034,85056,228,54681,98.9,594,1.1,55275,65,NDP
24,24040,Laval--Les Îles,84050,3668520000,3357235000,3258171000,43646.87686,Quebec,Laval--Les Îles,103053,82438,216,54205,98.8,683,1.2,54888,66.6,Liberal
24,24041,Longueuil--Charles-LeMoyne,85100,2995761000,2757293000,2642047000,35202.83196,Quebec,Longueuil--Charles-LeMoyne,104895,83844,222,51707,98.2,925,1.8,52632,62.8,Liberal
24,24042,Lévis--Lotbinière,90990,4251414000,3825816000,3728981000,46723.96967,Quebec,Lévis--Lotbinière,107593,87339,251,62588,98.5,975,1.5,63563,72.8,Conservative
24,24043,Longueuil--Saint-Hubert,87920,3881470000,3527806000,3408137000,44147.74795,Quebec,Longueuil--Saint-Hubert,104366,85972,227,58199,98.4,939,1.6,59138,68.8,NDP
24,24044,Louis-Hébert,85460,4765180000,4261291000,4170374000,55759.18558,Quebec,Louis-Hébert,104038,81376,230,61744,99,627,1,62371,76.6,Liberal
24,24045,Louis-Saint-Laurent,94450,4414200000,3946151000,3864579000,46735.83907,Quebec,Louis-Saint-Laurent,106888,92372,249,64683,98.7,852,1.3,65535,70.9,Conservative
24,24046,Manicouagan,73830,3119627000,2855494000,2726789000,42254.19206,Quebec,Manicouagan,94766,75229,239,42030,98.5,645,1.5,42675,56.7,Bloc Québécois
24,24047,Mégantic--L'Érable,72950,2516821000,2321641000,2187032000,34500.63057,Quebec,Mégantic--L'Érable,88745,71653,231,47287,98,941,2,48228,67.3,Conservative
24,24048,Mirabel,92340,4015025000,3667197000,3573682000,43480.88586,Quebec,Mirabel,103536,87938,230,59418,98.1,1178,1.9,60596,68.9,Bloc Québécois
24,24049,Montarville,77840,4375939000,3923797000,3861783000,56217.09918,Quebec,Montarville,95095,75693,200,57917,98.5,881,1.5,58798,77.7,Liberal
24,24050,Montcalm,85940,3376771000,3095802000,2977644000,39292.19223,Quebec,Montcalm,99518,83808,230,53009,97.7,1226,2.3,54235,64.7,Bloc Québécois
24,24051,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,80680,2896043000,2669085000,2532876000,35895.42638,Quebec,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,97261,78672,266,49243,98.4,777,1.6,50020,63.6,Conservative
24,24052,Mount Royal,83620,4884794000,4477167000,4336242000,58416.57498,Quebec,Mount Royal,101258,74416,205,48051,99.1,425,0.9,48476,65.1,Liberal
24,24053,Notre-Dame-de-Grâce--Westmount,82370,5775578000,5300618000,5151039000,70117.49423,Quebec,Notre-Dame-de-Grâce--Westmount,104410,79832,211,51593,99.4,311,0.6,51904,65,Liberal
24,24054,Outremont,66530,3488964000,3208072000,3099477000,52441.96603,Quebec,Outremont,100916,71136,192,43619,99,426,1,44045,61.9,NDP
24,24055,Papineau,86100,2736834000,2533909000,2396719000,31786.6899,Quebec,Papineau,108977,79136,213,50770,98.6,698,1.4,51468,65,Liberal
24,24056,Pierrefonds--Dollard,86110,3919965000,3575200000,3461175000,45522.76158,Quebec,Pierrefonds--Dollard,108740,85333,222,58505,99.4,368,0.6,58873,69,Liberal
24,24057,Pontiac,88560,4177035000,3781101000,3672320000,47166.15854,Quebec,Pontiac,106499,87922,277,62625,99.3,467,0.7,63092,71.8,Liberal
24,24058,Portneuf--Jacques-Cartier,92380,4458991000,4005662000,3892539000,48267.92596,Quebec,Portneuf--Jacques-Cartier,104394,88337,258,62059,98.8,781,1.2,62840,71.1,Conservative
24,24059,Québec,79280,3309017000,3017936000,2891535000,41738.35772,Quebec,Québec,96525,79593,229,53867,98.5,820,1.5,54687,68.7,Liberal
24,24060,Repentigny,94060,4253844000,3841260000,3744750000,45224.79269,Quebec,Repentigny,111191,92117,252,65211,98.2,1179,1.8,66390,72.1,Bloc Québécois
24,24061,Richmond--Arthabaska,87610,3221923000,2956066000,2813028000,36775.74478,Quebec,Richmond--Arthabaska,103897,85894,263,58617,98.5,912,1.5,59529,69.3,Conservative
24,24062,Rivière-des-Mille-Îles,82490,3772855000,3422141000,3336733000,45737.11965,Quebec,Rivière-des-Mille-Îles,102816,81528,214,58046,98.4,927,1.6,58973,72.3,Liberal
24,24063,Rivière-du-Nord,91420,3548132000,3257694000,3128821000,38811.33231,Quebec,Rivière-du-Nord,102085,89667,242,56657,98.2,1044,1.8,57701,64.4,Bloc Québécois
24,24064,Rosemont--La Petite-Patrie,86070,3574259000,3265159000,3143002000,41527.34983,Quebec,Rosemont--La Petite-Patrie,106293,84884,239,58335,98.7,788,1.3,59123,69.7,NDP
24,24065,Marc-Aurèle-Fortin,79610,3729798000,3376534000,3305654000,46850.87301,Quebec,Marc-Aurèle-Fortin,96082,76396,199,54525,98.6,769,1.4,55294,72.4,Liberal
24,24066,Saint-Hyacinthe--Bagot,84100,3156331000,2902214000,2771338000,37530.68966,Quebec,Saint-Hyacinthe--Bagot,99629,81016,243,54369,97.8,1214,2.2,55583,68.6,NDP
24,24067,Saint-Jean,89630,3711901000,3398005000,3277106000,41413.60036,Quebec,Saint-Jean,108244,88519,245,60386,98,1231,2,61617,69.6,Liberal
24,24068,Saint-Laurent,76510,3162287000,2902082000,2782629000,41331.68213,Quebec,Saint-Laurent,93842,69138,179,40330,99,409,1,40739,58.9,Liberal
24,24069,Saint-Léonard--Saint-Michel,86290,2608544000,2430999000,2295601000,30229.96871,Quebec,Saint-Léonard--Saint-Michel,110649,76746,205,44531,98.5,689,1.5,45220,58.9,Liberal
24,24070,Saint-Maurice--Champlain,90010,3162582000,2875820000,2721484000,35135.89601,Quebec,Saint-Maurice--Champlain,110273,92352,272,58947,98,1175,2,60122,65.1,Liberal
24,24071,Salaberry--Suroît,93470,3519931000,3232373000,3082127000,37658.40377,Quebec,Salaberry--Suroît,107036,92604,269,61535,98.4,998,1.6,62533,67.5,NDP
24,24072,Shefford,91040,3523466000,3219894000,3088201000,38702.39455,Quebec,Shefford,107538,88533,267,58920,97.8,1299,2.2,60219,68,Liberal
24,24073,Sherbrooke,89420,3288196000,3008468000,2859683000,36772.48938,Quebec,Sherbrooke,107988,87658,248,57300,98.6,796,1.4,58096,66.3,NDP
24,24074,Vaudreuil--Soulanges,92900,4663354000,4238307000,4154433000,50197.56728,Quebec,Vaudreuil--Soulanges,111905,90804,251,65528,98.9,714,1.1,66242,73,Liberal
24,24075,Terrebonne,87380,3933249000,3575385000,3487072000,45013.14946,Quebec,Terrebonne,106322,84502,209,58284,97.9,1256,2.1,59540,70.5,Bloc Québécois
24,24076,Trois-Rivières,91510,3525551000,3176418000,3023803000,38526.40149,Quebec,Trois-Rivières,108774,91098,261,60289,98.5,940,1.5,61229,67.2,NDP
24,24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,104490,5723223000,5257076000,4952262000,54772.92564,Quebec,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,103070,85702,238,50164,99.1,435,0.9,50599,59,Liberal
24,24078,Vimy,91130,3325914000,3056775000,2931367000,36496.36783,Quebec,Vimy,104373,86225,232,54343,98.3,941,1.7,55284,64.1,Liberal
TOTAL,,,6573000,2.79748E+11,2.55085E+11,2.45522E+11,42560.17039,,,,,,,,,,,,
35,35001,Ajax,90790,4221309000,3873844000,3788376000,46495.30785,Ontario,Ajax,109600,85251,210,56307,99.6,206,0.4,56513,66.3,Liberal
35,35002,Algoma--Manitoulin--Kapuskasing,64770,2507490000,2318609000,2186852000,38713.75637,Ontario,Algoma--Manitoulin--Kapuskasing,79801,63253,211,41374,99.6,161,0.4,41535,65.7,NDP
35,35003,Aurora--Oak Ridges--Richmond Hill,89120,4862441000,4433541000,4332964000,54560.60368,Ontario,Aurora--Oak Ridges--Richmond Hill,106064,79127,204,50980,99.6,204,0.4,51184,64.7,Liberal
35,35004,Barrie--Innisfil,83840,3976105000,3657738000,3579221000,47424.91651,Ontario,Barrie--Innisfil,101584,77320,201,49341,99.6,187,0.4,49528,64.1,Conservative
35,35005,Barrie--Springwater--Oro-Medonte,75450,3580736000,3279137000,3186155000,47458.39629,Ontario,Barrie--Springwater--Oro-Medonte,97876,76084,217,50535,99.6,181,0.4,50716,66.7,Conservative
35,35006,Bay of Quinte,89410,3736761000,3422203000,3266733000,41793.54658,Ontario,Bay of Quinte,109488,85021,239,57713,99.6,211,0.4,57924,68.1,Liberal
35,35007,Beaches--East York,82890,4723208000,4313239000,4174845000,56981.63832,Ontario,Beaches--East York,107084,77440,194,55530,99.6,216,0.4,55746,72,Liberal
35,35008,Brampton Centre,79460,2861108000,2676879000,2582487000,36006.89655,Ontario,Brampton Centre,103122,65460,181,39632,99.3,264,0.7,39896,60.9,Liberal
35,35009,Brampton East,98720,3404889000,3171264000,3044689000,34490.36669,Ontario,Brampton East,99712,69251,179,45206,99.3,304,0.7,45510,65.7,Liberal
35,35010,Brampton North,94190,3574486000,3318289000,3222967000,37949.73989,Ontario,Brampton North,111951,74148,187,48166,99.3,318,0.7,48484,65.4,Liberal
35,35011,Brampton South,97820,3541779000,3298051000,3181328000,36207.10489,Ontario,Brampton South,107364,73019,193,45464,99.4,270,0.6,45734,62.6,Liberal
35,35012,Brampton West,101500,3781263000,3528378000,3430419000,37253.82266,Ontario,Brampton West,101762,71990,173,43398,99.4,245,0.6,43643,60.6,Liberal
35,35013,Brantford--Brant,97650,4119804000,3811323000,3666703000,42189.49309,Ontario,Brantford--Brant,132443,97409,259,63272,99.6,272,0.4,63544,65.2,Conservative
35,35014,Bruce--Grey--Owen Sound,84830,3539837000,3257001000,3120915000,41728.59837,Ontario,Bruce--Grey--Owen Sound,106475,82607,249,56333,99.6,212,0.4,56545,68.5,Conservative
35,35015,Burlington,99120,6030904000,5498118000,5387653000,60844.47135,Ontario,Burlington,120569,96126,269,70100,99.6,263,0.4,70363,73.2,Liberal
35,35016,Cambridge,98320,4624612000,4278310000,4150201000,47036.33035,Ontario,Cambridge,111693,83514,234,53339,99.6,227,0.4,53566,64.1,Liberal
35,35017,Chatham-Kent--Leamington,95550,3754109000,3492884000,3299114000,39289.47148,Ontario,Chatham-Kent--Leamington,111866,79755,263,51971,99.5,263,0.5,52234,65.5,Conservative
35,35018,Davenport,83920,3533703000,3288538000,3157494000,42107.99571,Ontario,Davenport,102360,74413,190,49584,99.4,287,0.6,49871,67,Liberal
35,35019,Don Valley East,75250,3263866000,3021950000,2891277000,43373.63455,Ontario,Don Valley East,93007,63547,174,41588,99.4,257,0.6,41845,65.8,Liberal
35,35020,Don Valley North,91310,3923058000,3601637000,3479124000,42964.16603,Ontario,Don Valley North,103073,72787,210,45687,99.4,259,0.6,45946,63.1,Liberal
35,35021,Don Valley West,77550,8019372000,7397560000,7190998000,103409.0522,Ontario,Don Valley West,99820,71037,184,51086,99.6,217,0.4,51303,72.2,Liberal
35,35022,Dufferin--Caledon,102690,5573096000,5110666000,4992802000,54271.06826,Ontario,Dufferin--Caledon,116341,92598,266,60451,99.6,232,0.4,60683,65.5,Conservative
35,35023,Durham,101380,5289458000,4821054000,4734740000,52174.57092,Ontario,Durham,115395,94069,280,64185,99.6,233,0.4,64418,68.5,Conservative
35,35024,Eglinton--Lawrence,89500,7162143000,6599730000,6433767000,80023.94413,Ontario,Eglinton--Lawrence,113150,78535,205,55792,99.4,328,0.6,56120,71.5,Liberal
35,35025,Elgin--Middlesex--London,90850,4117156000,3793193000,3653516000,45318.17281,Ontario,Elgin--Middlesex--London,110109,83446,217,56933,99.6,230,0.4,57163,68.5,Conservative
35,35026,Essex,101850,5510361000,5060435000,4924904000,54102.70987,Ontario,Essex,120477,92489,233,60531,99.6,241,0.4,60772,65.7,NDP
35,35027,Etobicoke Centre,95220,5800370000,5325574000,5185881000,60915.45894,Ontario,Etobicoke Centre,114910,88440,231,61802,99.5,303,0.5,62105,70.2,Liberal
35,35028,Etobicoke--Lakeshore,103600,6337927000,5813424000,5655096000,61176.90154,Ontario,Etobicoke--Lakeshore,115437,93880,237,64508,99.5,307,0.5,64815,69,Liberal
35,35029,Etobicoke North,93340,2809879000,2648239000,2471448000,30103.69616,Ontario,Etobicoke North,117601,69942,176,42064,99.4,257,0.6,42321,60.5,Liberal
35,35030,Flamborough--Glanbrook,83010,4478776000,4097498000,4008839000,53954.65607,Ontario,Flamborough--Glanbrook,97081,79397,213,55510,99.6,220,0.4,55730,70.2,Conservative
35,35031,Glengarry--Prescott--Russell,89440,4295800000,3921069000,3784410000,48029.96422,Ontario,Glengarry--Prescott--Russell,106240,86010,260,64173,99.4,399,0.6,64572,75.1,Liberal
35,35032,Guelph,102010,5073706000,4651587000,4545739000,49737.33948,Ontario,Guelph,121688,98453,243,69868,99.6,298,0.4,70166,71.3,Liberal
35,35033,Haldimand--Norfolk,93550,3957890000,3647570000,3500432000,42307.74987,Ontario,Haldimand--Norfolk,108051,83220,227,55990,99.4,312,0.6,56302,67.7,Conservative
35,35034,Haliburton--Kawartha Lakes--Brock,93400,4074403000,3728929000,3595639000,43623.15846,Ontario,Haliburton--Kawartha Lakes--Brock,110182,91802,260,61834,99.7,203,0.3,62037,67.6,Conservative
35,35035,Hamilton Centre,77020,2681784000,2512175000,2308881000,34819.31966,Ontario,Hamilton Centre,101932,69598,198,41083,99.3,269,0.7,41352,59.4,NDP
35,35036,Hamilton East--Stoney Creek,85790,3476651000,3232713000,3099911000,40525.13113,Ontario,Hamilton East--Stoney Creek,107786,80639,217,50332,99.4,293,0.6,50625,62.8,Liberal
35,35037,Hamilton Mountain,83470,3283679000,3042016000,2925858000,39339.63101,Ontario,Hamilton Mountain,103615,77581,205,50554,99.4,307,0.6,50861,65.6,NDP
