,FED ID,Federal Electoral Districts_x,xNo Certificate,xSecondary School Diploma,xSecondary School Diploma,xUniversity level or above,ï»¿Province,Party Won,No Certificate,Secondary School Diploma,Non-university certificate or diploma,University level or above
263,35091,Saskatoon West,0.21,0.37,0.2,0.22,Ontario,Conservative,21,37,20,22
264,47012,Saskatoon--University,0.12,0.3,0.19,0.39,Saskatchewan,NDP,12,30,19,39
265,47010,Sault Ste. Marie,0.19,0.33,0.29,0.2,Saskatchewan,Conservative,19,33,29,20
266,47011,Scarborough Centre,0.2,0.33,0.2,0.27,Saskatchewan,Conservative,20,33,20,27
267,35092,Scarborough North,0.25,0.33,0.17,0.25,Ontario,Liberal,25,33,17,25
268,35094,Scarborough Southwest,0.19,0.31,0.2,0.29,Ontario,Liberal,19,31,20,29
269,35096,Scarborough--Agincourt,0.21,0.3,0.17,0.31,Ontario,Liberal,21,30,17,31
270,35098,Scarborough--Guildwood,0.2,0.32,0.2,0.28,Ontario,Liberal,20,32,20,28
271,35093,Scarborough--Rouge Park,0.17,0.33,0.23,0.28,Ontario,Liberal,17,33,23,28
272,35095,Selkirk--Interlake--Eastman,0.26,0.36,0.23,0.14,Ontario,Liberal,26,36,23,14
273,35097,Shefford,0.31,0.32,0.21,0.15,Ontario,Liberal,31,32,21,15
274,46010,Sherbrooke,0.22,0.25,0.24,0.29,Manitoba,Conservative,22,25,24,29
275,24072,Sherwood Park--Fort Saskatchewan,0.15,0.34,0.28,0.24,Quebec,Liberal,15,34,28,24
276,24073,Simcoe North,0.22,0.34,0.29,0.15,Quebec,NDP,22,34,29,15
277,48032,Simcoe--Grey,0.2,0.36,0.27,0.18,Alberta,Conservative,20,36,27,18
278,35100,Skeena--Bulkley Valley,0.29,0.35,0.21,0.14,Ontario,Conservative,29,35,21,14
279,35099,Souris--Moose Mountain,0.25,0.41,0.2,0.13,Ontario,Conservative,25,41,20,13
280,59028,South Okanagan--West Kootenay,0.21,0.35,0.27,0.17,British Columba,NDP,21,35,27,17
281,47013,South Shore--St. Margarets,0.26,0.28,0.26,0.19,Saskatchewan,Conservative,26,28,26,19
282,59029,South Surrey--White Rock,0.12,0.32,0.22,0.34,British Columba,NDP,12,32,22,34
283,12009,Spadina--Fort York,0.05,0.15,0.14,0.66,Nova Scotia,Liberal,5,15,14,66
284,59030,St. Albert--Edmonton,0.16,0.33,0.25,0.26,British Columba,Conservative,16,33,25,26
285,35101,St. Catharines,0.18,0.35,0.26,0.21,Ontario,Liberal,18,35,26,21
286,48031,St. John's East,0.13,0.26,0.25,0.36,Alberta,Conservative,13,26,25,36
287,35089,St. John's South--Mount Pearl,0.17,0.3,0.29,0.24,Ontario,Liberal,17,30,29,24
288,10006,Steveston--Richmond East,0.14,0.33,0.17,0.37,Newfoundland and Labrador,Liberal,14,33,17,37
289,10007,Stormont--Dundas--South Glengarry,0.23,0.35,0.29,0.13,Newfoundland and Labrador,Liberal,23,35,29,13
290,59031,Sturgeon River--Parkland,0.21,0.38,0.27,0.15,British Columba,Liberal,21,38,27,15
291,35102,Sudbury,0.2,0.28,0.3,0.23,Ontario,Conservative,20,28,30,23
292,48033,Surrey Centre,0.24,0.38,0.18,0.2,Alberta,Conservative,24,38,18,20
293,35103,Surrey--Newton,0.24,0.39,0.15,0.22,Ontario,Liberal,24,39,15,22
294,59032,Sydney--Victoria,0.26,0.32,0.24,0.18,British Columba,Liberal,26,32,24,18
295,59033,Terrebonne,0.25,0.31,0.24,0.19,British Columba,Liberal,25,31,24,19
296,12010,ThÃ©rÃ¨se-De Blainville,0.21,0.27,0.25,0.27,Nova Scotia,Liberal,21,27,25,27
297,24075,Thornhill,0.11,0.24,0.18,0.47,Quebec,Bloc QuÃ©bÃ©cois,11,24,18,47
298,24013,Thunder Bay--Rainy River,0.23,0.32,0.28,0.17,Quebec,Liberal,23,32,28,17
299,35104,Thunder Bay--Superior North,0.22,0.28,0.27,0.23,Ontario,Conservative,22,28,27,23
300,35105,Timmins--James Bay,0.3,0.29,0.3,0.11,Ontario,Liberal,30,29,30,11
301,35106,Tobique--Mactaquac,0.23,0.36,0.24,0.16,Ontario,Liberal,23,36,24,16
302,35107,Toronto Centre,0.08,0.21,0.15,0.55,Ontario,NDP,8,21,15,55
303,13010,Toronto--Danforth,0.15,0.22,0.17,0.45,New Brunswick/Nouveau-Brunswick,Liberal,15,22,17,45
304,35108,Toronto--St. Paul's,0.09,0.19,0.15,0.58,Ontario,Liberal,9,19,15,58
305,35109,Trois-RiviÃ¨res,0.23,0.27,0.26,0.25,Ontario,Liberal,23,27,26,25
306,35090,University--Rosedale,0.08,0.2,0.1,0.62,Ontario,Liberal,8,20,10,62
307,24076,Vancouver Centre,0.04,0.19,0.18,0.58,Quebec,NDP,4,19,18,58
308,35110,Vancouver East,0.16,0.27,0.18,0.39,Ontario,Liberal,16,27,18,39
309,59034,Vancouver Granville,0.08,0.23,0.16,0.54,British Columba,Liberal,8,23,16,54
310,59035,Vancouver Kingsway,0.2,0.31,0.16,0.32,British Columba,NDP,20,31,16,32
311,59036,Vancouver Quadra,0.08,0.23,0.12,0.58,British Columba,Liberal,8,23,12,58
312,59038,Vancouver South,0.2,0.33,0.16,0.31,British Columba,NDP,20,33,16,31
313,59039,Vaudreuil--Soulanges,0.17,0.3,0.26,0.27,British Columba,Liberal,17,30,26,27
314,59040,Vaughan--Woodbridge,0.23,0.29,0.2,0.28,British Columba,Liberal,23,29,20,28
315,24074,Victoria,0.1,0.28,0.19,0.44,Quebec,Liberal,10,28,19,44
316,35111,Ville-Marie--Le Sud-Ouest--ÃŽle-des-Soeurs,0.08,0.19,0.15,0.58,Ontario,Liberal,8,19,15,58
317,59041,Vimy,0.24,0.27,0.22,0.27,British Columba,NDP,24,27,22,27
318,24077,Waterloo,0.12,0.28,0.18,0.42,Quebec,Liberal,12,28,18,42
319,24078,Wellington--Halton Hills,0.17,0.32,0.26,0.24,Quebec,Liberal,17,32,26,24
320,35112,West Nova,0.3,0.28,0.28,0.14,Ontario,Liberal,30,28,28,14
321,35113,West Vancouver--Sunshine Coast--Sea to Sky Country,0.12,0.3,0.19,0.39,Ontario,Conservative,12,30,19,39
322,12011,Whitby,0.14,0.3,0.28,0.28,Nova Scotia,Liberal,14,30,28,28
323,59042,Willowdale,0.08,0.22,0.14,0.56,British Columba,Liberal,8,22,14,56
324,35114,Windsor West,0.19,0.33,0.21,0.27,Ontario,Liberal,19,33,21,27
325,35115,Windsor--Tecumseh,0.18,0.35,0.26,0.21,Ontario,Liberal,18,35,26,21
326,35117,Winnipeg Centre,0.23,0.31,0.18,0.28,Ontario,NDP,23,31,18,28
327,35116,Winnipeg North,0.25,0.33,0.19,0.23,Ontario,NDP,25,33,19,23
328,46011,Winnipeg South,0.12,0.31,0.18,0.39,Manitoba,Liberal,12,31,18,39
329,46012,Winnipeg South Centre,0.11,0.28,0.16,0.45,Manitoba,Liberal,11,28,16,45
330,46013,Yellowhead,0.29,0.37,0.22,0.12,Manitoba,Liberal,29,37,22,12
331,46014,York Centre,0.18,0.28,0.19,0.34,Manitoba,Liberal,18,28,19,34
332,48034,York South--Weston,0.3,0.33,0.2,0.17,Alberta,Conservative,30,33,20,17
333,35118,York--Simcoe,0.2,0.35,0.27,0.18,Ontario,Liberal,20,35,27,18
334,35120,Yorkton--Melville,0.28,0.38,0.21,0.13,Ontario,Liberal,28,38,21,13
335,35119,Yukon,0.18,0.27,0.25,0.3,Ontario,Conservative,18,27,25,30
336,47014,Grand Total,0.19,0.3,0.23,0.28,Saskatchewan,Conservative,19,30,23,28
