,FED ID,Federal Electoral Districts_x,xNo Certificate,xSecondary School Diploma,xSecondary School Diploma,xUniversity level or above,ï»¿Province,Party Won,No Certificate,Secondary School Diploma,Non-university certificate or diploma,University level or above
27,10002,Bonavista--Burin--Trinity,0.35,0.3,0.27,0.08,Newfoundland and Labrador,Liberal,35,30,27,8
28,24015,Bourassa,0.35,0.28,0.18,0.19,Quebec,Liberal,35,28,18,19
29,48003,Bow River,0.28,0.36,0.22,0.14,Alberta,Conservative,28,36,22,14
30,35008,Brampton Centre,0.2,0.35,0.22,0.22,Ontario,Liberal,20,35,22,22
31,35009,Brampton East,0.22,0.32,0.16,0.29,Ontario,Liberal,22,32,16,29
32,35010,Brampton North,0.2,0.33,0.21,0.26,Ontario,Liberal,20,33,21,26
33,35011,Brampton South,0.19,0.31,0.21,0.29,Ontario,Liberal,19,31,21,29
34,35012,Brampton West,0.17,0.31,0.21,0.3,Ontario,Liberal,17,31,21,30
35,46001,Brandon--Souris,0.23,0.36,0.23,0.18,Manitoba,Conservative,23,36,23,18
36,35013,Brantford--Brant,0.21,0.35,0.28,0.16,Ontario,Conservative,21,35,28,16
37,24016,Brome--Missisquoi,0.27,0.31,0.21,0.22,Quebec,Liberal,27,31,21,22
38,24017,Brossard--Saint-Lambert,0.14,0.23,0.21,0.42,Quebec,Liberal,14,23,21,42
39,35014,Bruce--Grey--Owen Sound,0.25,0.33,0.28,0.15,Ontario,Conservative,25,33,28,15
40,35015,Burlington,0.13,0.29,0.27,0.31,Ontario,Liberal,13,29,27,31
41,59002,Burnaby North--Seymour,0.12,0.32,0.19,0.37,British Columba,Liberal,12,32,19,37
42,59003,Burnaby South,0.12,0.29,0.19,0.41,British Columba,NDP,12,29,19,41
43,48004,Calgary Centre,0.07,0.21,0.16,0.55,Alberta,Liberal,7,21,16,55
44,48005,Calgary Confederation,0.09,0.23,0.17,0.51,Alberta,Conservative,9,23,17,51
45,48006,Calgary Forest Lawn,0.28,0.37,0.19,0.16,Alberta,Conservative,28,37,19,16
46,48007,Calgary Heritage,0.12,0.29,0.21,0.38,Alberta,Conservative,12,29,21,38
47,48008,Calgary Midnapore,0.13,0.31,0.23,0.33,Alberta,Conservative,13,31,23,33
48,48009,Calgary Nose Hill,0.15,0.3,0.2,0.35,Alberta,Conservative,15,30,20,35
49,48010,Calgary Rocky Ridge,0.1,0.24,0.21,0.45,Alberta,Conservative,10,24,21,45
50,48011,Calgary Shepard,0.15,0.31,0.24,0.3,Alberta,Conservative,15,31,24,30
51,48012,Calgary Signal Hill,0.11,0.24,0.18,0.46,Alberta,Conservative,11,24,18,46
52,48013,Calgary Skyview,0.21,0.34,0.18,0.27,Alberta,Liberal,21,34,18,27
53,35016,Cambridge,0.23,0.35,0.25,0.17,Ontario,Liberal,23,35,25,17
54,12001,Cape Breton--Canso,0.26,0.29,0.28,0.17,Nova Scotia,Liberal,26,29,28,17
55,11001,Cardigan,0.19,0.3,0.29,0.23,Prince Edward Island,Liberal,19,30,29,23
56,59004,Cariboo--Prince George,0.25,0.39,0.2,0.16,British Columba,Conservative,25,39,20,16
57,35088,Carleton,0.11,0.26,0.26,0.37,Ontario,Conservative,11,26,26,37
58,47004,Carlton Trail--Eagle Creek,0.23,0.37,0.24,0.16,Saskatchewan,Conservative,23,37,24,16
