Prov/Terr,FED ID,Federal Electoral Districts,Total,Total Income,Net Income,Taxable Income
35,35017,Chatham-Kent--Leamington,95550,3754109000,3492884000,3299114000
35,35018,Davenport,83920,3533703000,3288538000,3157494000
35,35019,Don Valley East,75250,3263866000,3021950000,2891277000
35,35020,Don Valley North,91310,3923058000,3601637000,3479124000
35,35021,Don Valley West,77550,8019372000,7397560000,7190998000
35,35022,Dufferin--Caledon,102690,5573096000,5110666000,4992802000
35,35023,Durham,101380,5289458000,4821054000,4734740000
35,35024,Eglinton--Lawrence,89500,7162143000,6599730000,6433767000
35,35025,Elgin--Middlesex--London,90850,4117156000,3793193000,3653516000
35,35026,Essex,101850,5510361000,5060435000,4924904000
35,35027,Etobicoke Centre,95220,5800370000,5325574000,5185881000
35,35028,Etobicoke--Lakeshore,103600,6337927000,5813424000,5655096000
35,35029,Etobicoke North,93340,2809879000,2648239000,2471448000
35,35030,Flamborough--Glanbrook,83010,4478776000,4097498000,4008839000
35,35031,Glengarry--Prescott--Russell,89440,4295800000,3921069000,3784410000
35,35032,Guelph,102010,5073706000,4651587000,4545739000
35,35033,Haldimand--Norfolk,93550,3957890000,3647570000,3500432000
35,35034,Haliburton--Kawartha Lakes--Brock,93400,4074403000,3728929000,3595639000
35,35035,Hamilton Centre,77020,2681784000,2512175000,2308881000
35,35036,Hamilton East--Stoney Creek,85790,3476651000,3232713000,3099911000
35,35037,Hamilton Mountain,83470,3283679000,3042016000,2925858000
35,35038,Hamilton West--Ancaster--Dundas,88560,4847278000,4404333000,4309636000
35,35039,Hastings--Lennox and Addington,78100,3207135000,2943083000,2815510000
35,35040,Huron--Bruce,88380,4331066000,3976345000,3814160000
35,35041,Kanata--Carleton,85640,5261189000,4723554000,4644885000
35,35042,Kenora,45060,1697946000,1560383000,1479011000
35,35043,King--Vaughan,102100,5979322000,5497144000,5364831000
35,35044,Kingston and the Islands,90040,4376904000,3973558000,3838741000
35,35045,Kitchener Centre,83150,3532460000,3276052000,3149880000
35,35046,Kitchener--Conestoga,78600,4027959000,3704615000,3613979000
35,35047,Kitchener South--Hespeler,81290,3844778000,3547323000,3451661000
35,35048,Lambton--Kent--Middlesex,86210,3908724000,3593474000,3433798000
35,35049,Lanark--Frontenac--Kingston,82160,3849074000,3511632000,3397839000
35,35050,Leeds--Grenville--Thousand Islands and Rideau Lakes,81710,3677520000,3373000000,3252842000
35,35051,London--Fanshawe,91620,3331623000,3108448000,2961487000
35,35052,London North Centre,96950,4571327000,4196850000,4039413000
35,35053,London West,99890,4990048000,4534659000,4405655000
35,35054,Markham--Stouffville,96520,5168844000,4691025000,4587503000
35,35055,Markham--Thornhill,84750,3417755000,3148981000,3025567000
35,35056,Markham--Unionville,98800,4834529000,4391819000,4266025000
35,35057,Milton,82150,4490002000,4122857000,4052127000
35,35058,Mississauga Centre,101580,3912066000,3625682000,3507350000
35,35059,Mississauga East--Cooksville,95820,3713512000,3453127000,3327547000
35,35060,Mississauga--Erin Mills,96730,4460306000,4086715000,3989182000
35,35061,Mississauga--Lakeshore,92900,5889927000,5403190000,5266230000
35,35062,Mississauga--Malton,95640,3473094000,3233620000,3118589000
35,35063,Mississauga--Streetsville,93020,4561079000,4186504000,4096651000
35,35064,Nepean,90110,4983268000,4482197000,4399689000
35,35065,Newmarket--Aurora,94160,5060597000,4623863000,4533536000
35,35066,Niagara Centre,89880,3556834000,3276286000,3131408000
35,35067,Niagara Falls,111940,4680413000,4300246000,4129262000
35,35068,Niagara West,71560,3812219000,3472166000,3394428000
35,35069,Nickel Belt,75910,3617840000,3327151000,3218858000
35,35070,Nipissing--Timiskaming,74240,3189110000,2929834000,2798231000
35,35071,Northumberland--Peterborough South,93960,4406963000,4023155000,3909101000
35,35072,Oakville,95880,7848354000,7192647000,7009354000
35,35073,Oakville North--Burlington,96830,6421587000,5841165000,5755201000
35,35074,Oshawa,98650,4085017000,3772542000,3626390000
35,35075,Ottawa Centre,89910,6072413000,5483153000,5302230000
35,35076,Orléans,99430,5780594000,5168763000,5087324000
35,35077,Ottawa South,92940,4501795000,4075112000,3931861000
35,35078,Ottawa--Vanier,87460,4457967000,4051840000,3862419000
35,35079,Ottawa West--Nepean,87410,4319685000,3920524000,3795346000
35,35080,Oxford,91960,4208762000,3907396000,3760707000
35,35081,Parkdale--High Park,80310,4954971000,4544296000,4410654000
35,35082,Parry Sound--Muskoka,76960,3310324000,3034661000,2920420000
35,35083,Perth--Wellington,80340,3634344000,3377017000,3243559000
35,35084,Peterborough--Kawartha,94560,4117697000,3767554000,3621162000
35,35085,Pickering--Uxbridge,89290,4846666000,4426738000,4334327000
35,35086,Renfrew--Nipissing--Pembroke,83250,3642525000,3323588000,3199687000
35,35087,Richmond Hill,94050,4568390000,4160087000,4020496000
35,35088,Carleton,80520,5243941000,4710816000,4625144000
35,35089,St. Catharines,89920,3676171000,3387534000,3245343000
35,35090,Toronto--St. Paul's,85310,7638269000,7088125000,6927690000
35,35091,Sarnia--Lambton,84230,4277838000,3904788000,3776851000
35,35092,Sault Ste. Marie,65350,2777589000,2558559000,2447735000
35,35093,Scarborough--Agincourt,89080,2910182000,2695284000,2539479000
35,35094,Scarborough Centre,85180,2762751000,2584847000,2441744000
35,35095,Scarborough--Guildwood,77850,2549774000,2372099000,2237639000
35,35096,Scarborough North,80560,2357884000,2196804000,2059849000
35,35097,Scarborough--Rouge Park,84020,3294447000,3033624000,2904364000
35,35098,Scarborough Southwest,86470,3299653000,3064314000,2907043000
35,35099,Simcoe--Grey,105510,5156749000,4731819000,4603076000
35,35100,Simcoe North,94290,3986723000,3659588000,3527448000
35,35101,Spadina--Fort York,87830,6350049000,5880449000,5753022000
35,35102,Stormont--Dundas--South Glengarry,84040,3362672000,3103000000,2949416000
35,35103,Sudbury,73130,3396010000,3118870000,2996792000
35,35104,Thornhill,94310,5182872000,4720534000,4596889000
35,35105,Thunder Bay--Rainy River,65310,2845156000,2609660000,2507561000
35,35106,Thunder Bay--Superior North,66490,3035933000,2784599000,2680309000
35,35107,Timmins--James Bay,63070,2775540000,2581402000,2458295000
35,35108,Toronto Centre,83760,4493901000,4164856000,3996384000
35,35109,Toronto--Danforth,80010,4546031000,4149589000,4020567000
35,35110,University--Rosedale,93200,7811056000,7213536000,6908563000
35,35111,Vaughan--Woodbridge,84130,4412216000,4059962000,3953484000
35,35112,Waterloo,86960,4805754000,4380383000,4294362000
35,35113,Wellington--Halton Hills,93670,5538770000,5074339000,4968900000
35,35114,Whitby,96780,5441127000,4943700000,4858221000
35,35115,Willowdale,108170,4634908000,4278440000,4147610000
35,35116,Windsor--Tecumseh,92520,4117035000,3805518000,3650608000
35,35117,Windsor West,96530,3599291000,3348962000,3159381000
35,35118,York Centre,85790,3553369000,3298257000,3158060000
35,35119,York--Simcoe,81930,3904321000,3608945000,3521740000
35,35120,York South--Weston,91260,3025039000,2852149000,2666436000
35,35121,Humber River--Black Creek,86940,2416132000,2297798000,2114879000
TOTAL,,,10679920,5.18117E+11,4.75957E+11,4.60353E+11
46,46001,Brandon--Souris,68540,2957304000,2730020000,2619530000
46,46002,Charleswood--St. James--Assiniboia--Headingley,65430,3398231000,3099053000,3044372000
46,46003,Churchill--Keewatinook Aski,56120,1426778000,1327121000,1209050000
46,46004,Dauphin--Swan River--Neepawa,65930,2449575000,2284317000,2137985000
46,46005,Elmwood--Transcona,71790,2883052000,2667699000,2611232000
46,46006,Kildonan--St. Paul,67890,3221055000,2948777000,2885056000
46,46007,Portage--Lisgar,69620,2816816000,2624573000,2494022000
46,46008,Provencher,76390,3269232000,3031568000,2945917000
46,46009,Saint Boniface--Saint Vital,71200,3497956000,3202427000,3126677000
46,46010,Selkirk--Interlake--Eastman,75550,3233295000,2976506000,2882405000
46,46011,Winnipeg Centre,69120,2200645000,2070692000,1942076000
46,46012,Winnipeg North,73320,2327103000,2183410000,2088849000
46,46013,Winnipeg South,80620,3824118000,3475596000,3421261000
46,46014,Winnipeg South Centre,73670,4441830000,4068193000,3989263000
TOTAL,,,985170,41946991000,38689952000,37397695000
47,47001,Battlefords--Lloydminster,55270,2392745000,2245703000,2143573000
47,47002,Cypress Hills--Grasslands,54780,2611154000,2444383000,2289901000
47,47003,Desnethé--Missinippi--Churchill River,48390,1361489000,1272434000,1169244000
47,47004,Carlton Trail--Eagle Creek,58710,2819331000,2628011000,2522060000
47,47005,Moose Jaw--Lake Centre--Lanigan,60630,3027663000,2809367000,2697937000
47,47006,Prince Albert,64010,2720633000,2530961000,2401876000
47,47007,Regina--Lewvan,72160,4032015000,3693070000,3630562000
47,47008,Regina--Qu'Appelle,56670,2456465000,2283328000,2165218000
47,47009,Regina--Wascana,67040,3687808000,3392898000,3293719000
47,47010,Saskatoon--Grasswood,67120,3782915000,3474229000,3389112000
47,47011,Saskatoon--University,62940,3594118000,3299862000,3223192000
47,47012,Saskatoon West,66310,2769759000,2583296000,2456597000
47,47013,Souris--Moose Mountain,59100,3049144000,2847215000,2744293000
47,47014,Yorkton--Melville,55370,2371779000,2215149000,2100381000
TOTAL,,,848490,40677018000,37719904000,36227666000
48,48001,Banff--Airdrie,106530,6815209000,6281769000,6169180000
48,48002,Battle River--Crowfoot,95550,4651508000,4358898000,4157662000
48,48003,Bow River,87290,4372190000,4089099000,3947418000
48,48004,Calgary Centre,95670,8468133000,7820241000,7586406000
48,48005,Calgary Confederation,91090,6432139000,5890611000,5753686000
48,48006,Calgary Forest Lawn,84780,3071705000,2905672000,2774288000
48,48007,Calgary Heritage,87060,5575717000,5117403000,5007072000
48,48008,Calgary Midnapore,96560,6020056000,5538397000,5437568000
48,48009,Calgary Nose Hill,88930,4825103000,4419201000,4317157000
48,48010,Calgary Rocky Ridge,98930,6300984000,5747004000,5665150000
48,48011,Calgary Shepard,108380,6801903000,6297007000,6195938000
48,48012,Calgary Signal Hill,89920,6915277000,6342837000,6216511000
48,48013,Calgary Skyview,102640,3856584000,3630683000,3530277000
48,48014,Edmonton Centre,85400,4786077000,4429053000,4274687000
48,48015,Edmonton Griesbach,88410,3531081000,3315083000,3093313000
48,48016,Edmonton Manning,91480,4347644000,4038788000,3927250000
48,48017,Edmonton Mill Woods,90150,3949052000,3680820000,3583083000
48,48018,Edmonton Riverbend,92410,6227539000,5673169000,5577483000
48,48019,Edmonton Strathcona,79550,4565962000,4184045000,4084787000
48,48020,Edmonton West,92750,5077796000,4688845000,4587721000
48,48021,Edmonton--Wetaskiwin,122460,6696541000,6208670000,6088779000
48,48022,Foothills,82940,5424602000,5029784000,4869334000
48,48023,Fort McMurray--Cold Lake,80090,6102508000,5745939000,5584073000
48,48024,Grande Prairie--Mackenzie,88080,4887638000,4623677000,4321228000
48,48025,Lakeland,86610,4298734000,4042905000,3869356000
48,48026,Lethbridge,88810,4272705000,3954697000,3820257000
48,48027,Medicine Hat--Cardston--Warner,82880,3760470000,3503164000,3351631000
48,48028,Peace River--Westlock,80010,3686531000,3478489000,3227353000
48,48029,Red Deer--Mountain View,85240,4628094000,4313270000,4190398000
48,48030,Red Deer--Lacombe,91970,4724304000,4436512000,4295879000
48,48031,St. Albert--Edmonton,91830,5505929000,5031888000,4943608000
48,48032,Sherwood Park--Fort Saskatchewan,94320,6491414000,5961205000,5878620000
48,48033,Sturgeon River--Parkland,100330,5898798000,5482211000,5362107000
48,48034,Yellowhead,70090,3585129000,3383507000,3273060000
TOTAL,,,3099120,1.76555E+11,1.63645E+11,1.58962E+11
59,59001,Abbotsford,80960,3352409000,3122674000,2996747000
59,59002,Burnaby North--Seymour,82080,4311601000,3949299000,3848385000
59,59003,Burnaby South,93990,3887715000,3579606000,3467298000
59,59004,Cariboo--Prince George,85130,3774654000,3506574000,3389935000
59,59005,Central Okanagan--Similkameen--Nicola,94040,4206425000,3887053000,3755077000
59,59006,Chilliwack--Hope,80380,3371568000,3124035000,3002857000
59,59007,Cloverdale--Langley City,89930,4220377000,3890702000,3793283000
59,59008,Coquitlam--Port Coquitlam,98420,4480687000,4109628000,3999829000
59,59009,Courtenay--Alberni,98550,4181659000,3833124000,3687777000
59,59010,Cowichan--Malahat--Langford,88280,3955514000,3634584000,3517492000
59,59011,Delta,82960,4233894000,3867503000,3767730000
59,59012,Fleetwood--Port Kells,92240,3613298000,3341831000,3226694000
59,59013,Kamloops--Thompson--Cariboo,103080,4665716000,4303523000,4166666000
59,59014,Kelowna--Lake Country,99320,5029356000,4641304000,4515313000
59,59015,Kootenay--Columbia,91110,4173484000,3852428000,3735876000
59,59016,Langley--Aldergrove,93120,4855046000,4476290000,4363092000
59,59017,Mission--Matsqui--Fraser Canyon,74940,2892669000,2694734000,2574352000
59,59018,Nanaimo--Ladysmith,100770,4390505000,4034564000,3900116000
59,59019,New Westminster--Burnaby,92710,4018885000,3710819000,3592750000
59,59020,North Okanagan--Shuswap,106070,4539957000,4207621000,4046988000
59,59021,North Vancouver,93510,5674070000,5198172000,5074783000
59,59022,Pitt Meadows--Maple Ridge,79510,3885801000,3581052000,3487476000
59,59023,Port Moody--Coquitlam,88280,4493241000,4118434000,4021019000
59,59024,Prince George--Peace River--Northern Rockies,83840,4293349000,4036358000,3832197000
59,59025,Richmond Centre,84820,3345480000,3078567000,2972749000
59,59026,Esquimalt--Saanich--Sooke,95480,4451869000,4069000000,3971119000
59,59027,Saanich--Gulf Islands,89630,4810525000,4364788000,4270876000
59,59028,Skeena--Bulkley Valley,67340,2796688000,2600224000,2497974000
59,59029,South Okanagan--West Kootenay,102150,4293006000,3962334000,3807550000
59,59030,South Surrey--White Rock,85090,5136641000,4691790000,4574752000
59,59031,Steveston--Richmond East,84850,3438807000,3166974000,3058517000
59,59032,Surrey Centre,95710,2986847000,2823194000,2657700000
59,59033,Surrey--Newton,90600,2968617000,2792031000,2659965000
59,59034,Vancouver Centre,106840,7434918000,6879507000,6692572000
59,59035,Vancouver East,95270,4169971000,3862753000,3672526000
59,59036,Vancouver Granville,86350,5765706000,5299982000,5177766000
59,59037,North Island--Powell River,86570,3740499000,3446439000,3321142000
59,59038,Vancouver Kingsway,84860,3280998000,3035288000,2920157000
59,59039,Vancouver Quadra,81220,5992699000,5505235000,5408241000
59,59040,Vancouver South,84510,3167996000,2935536000,2813072000
59,59041,Victoria,96870,5269949000,4818143000,4691180000
59,59042,West Vancouver--Sunshine Coast--Sea to Sky Country,98850,6486246000,5982241000,5819873000
TOTAL,,,3790190,1.80039E+11,1.66016E+11,1.60751E+11
60,60001,Yukon,28700,1570830000,1442349000,1283327000
TOTAL,,,28700,1570830000,1442349000,1283327000
61,61001,Northwest Territories,31890,1890342000,1745859000,1581001000
TOTAL,,,31890,1890342000,1745859000,1581001000
62,62001,Nunavut,21440,1039849000,969968000,856212000
TOTAL,,,21440,1039849000,969968000,856212000
TOTAL,,,27977590,1.32116E+12,1.2146E+12,1.17367E+12
