Prov/Terr,FED ID,Federal Electoral Districts_x,Total_x,Total Income_x,Total_y,Total Income_y,Province,Federal Electoral Districts_y,Population,Electors,Polling Stations,Valid Ballots,Percentage of Valid Ballots,Rejected Ballots,Percentage of Rejected Ballots,Total Ballots Cast,Percentage of Voter Turnout,Party Won
24,24043.0,Longueuil--Saint-Hubert,41660,2156065000.0,46260,1725405000,Quebec,Longueuil--Saint-Hubert,104366,85972,227,58199,98.4,939,1.6,59138,68.8,NDP
24,24044.0,Louis-Hébert,40290,2620148000.0,45170,2145032000,Quebec,Louis-Hébert,104038,81376,230,61744,99.0,627,1.0,62371,76.6,Liberal
24,24045.0,Louis-Saint-Laurent,45490,2487512000.0,48950,1926688000,Quebec,Louis-Saint-Laurent,106888,92372,249,64683,98.7,852,1.3,65535,70.9,Conservative
24,24046.0,Manicouagan,37080,1967874000.0,36750,1151753000,Quebec,Manicouagan,94766,75229,239,42030,98.5,645,1.5,42675,56.7,Bloc Québécois
24,24047.0,Mégantic--L'Érable,36670,1473806000.0,36280,1043015000,Quebec,Mégantic--L'Érable,88745,71653,231,47287,98.0,941,2.0,48228,67.3,Conservative
24,24048.0,Mirabel,46290,2412917000.0,46050,1602108000,Quebec,Mirabel,103536,87938,230,59418,98.1,1178,1.9,60596,68.9,Bloc Québécois
24,24049.0,Montarville,37410,2545843000.0,40430,1830097000,Quebec,Montarville,95095,75693,200,57917,98.5,881,1.5,58798,77.7,Liberal
24,24050.0,Montcalm,43050,2023078000.0,42880,1353694000,Quebec,Montcalm,99518,83808,230,53009,97.7,1226,2.3,54235,64.7,Bloc Québécois
24,24051.0,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,39960,1677192000.0,40720,1218851000,Quebec,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,97261,78672,266,49243,98.4,777,1.6,50020,63.6,Conservative
24,24052.0,Mount Royal,38570,2880228000.0,45050,2004565000,Quebec,Mount Royal,101258,74416,205,48051,99.1,425,0.9,48476,65.1,Liberal
24,24053.0,Notre-Dame-de-Grâce--Westmount,38050,3390580000.0,44320,2384998000,Quebec,Notre-Dame-de-Grâce--Westmount,104410,79832,211,51593,99.4,311,0.6,51904,65.0,Liberal
24,24054.0,Outremont,31620,1976431000.0,34910,1512533000,Quebec,Outremont,100916,71136,192,43619,99.0,426,1.0,44045,61.9,NDP
24,24055.0,Papineau,42630,1477666000.0,43470,1259167000,Quebec,Papineau,108977,79136,213,50770,98.6,698,1.4,51468,65.0,Liberal
24,24056.0,Pierrefonds--Dollard,40970,2244293000.0,45140,1675672000,Quebec,Pierrefonds--Dollard,108740,85333,222,58505,99.4,368,0.6,58873,69.0,Liberal
24,24057.0,Pontiac,43830,2287278000.0,44730,1889757000,Quebec,Pontiac,106499,87922,277,62625,99.3,467,0.7,63092,71.8,Liberal
