FED ID,Federal Electoral Districts,No Certificate,Secondary School Diploma,Non-university certificate or diploma,University level or above
35071,Northumberland--Peterborough South,19%,34%,30%,17%
61,Northwest Territories,30%,25%,22%,23%
61001,Notre-Dame-de-Grâce--Westmount,9%,18%,18%,55%
24053,Nova Scotia,21%,29%,25%,25%
12,Nunavut,55%,17%,17%,12%
62,Oakville,12%,25%,19%,44%
62001,Oakville North--Burlington,11%,23%,20%,46%
35072,Ontario,18%,30%,23%,30%
35073,Orléans,11%,27%,26%,36%
35,Oshawa,22%,36%,29%,13%
35076,Ottawa Centre,9%,19%,14%,58%
35074,Ottawa South,15%,27%,19%,39%
35075,Ottawa West--Nepean,14%,27%,21%,38%
35077,Ottawa--Vanier,16%,27%,19%,39%
35079,Outremont,10%,18%,16%,56%
35078,Oxford,24%,35%,28%,13%
24054,Papineau,23%,22%,18%,37%
35080,Parkdale--High Park,11%,20%,17%,52%
24055,Parry Sound--Muskoka,21%,35%,27%,17%
35081,Peace River--Westlock,37%,33%,19%,11%
35082,Perth--Wellington,28%,34%,24%,14%
48028,Peterborough--Kawartha,18%,32%,29%,21%
35083,Pickering--Uxbridge,14%,31%,26%,28%
35084,Pierre-Boucher--Les Patriotes--Verchères,18%,25%,26%,31%
35085,Pierrefonds--Dollard,15%,27%,23%,34%
24014,Pitt Meadows--Maple Ridge,17%,39%,26%,19%
24056,Pontiac,23%,25%,23%,29%
59022,Port Moody--Coquitlam,13%,32%,21%,34%
24057,Portage--Lisgar,33%,34%,19%,14%
59023,Portneuf--Jacques-Cartier,19%,27%,28%,26%
46007,Prince Albert,27%,35%,22%,16%
24058,Prince Edward Island,20%,31%,27%,23%
47006,Prince George--Peace River--Northern Rockies,27%,38%,22%,14%
11,Provencher,28%,36%,21%,15%
59024,Quebec,24%,26%,23%,27%
46008,Québec,16%,21%,22%,41%
24,Red Deer--Lacombe,24%,37%,25%,14%
24059,Red Deer--Mountain View,20%,36%,27%,18%
48030,Regina--Lewvan,13%,36%,19%,32%
48029,Regina--Qu'Appelle,25%,39%,19%,17%
47007,Regina--Wascana,15%,35%,16%,34%
47008,Renfrew--Nipissing--Pembroke,20%,35%,29%,16%
47009,Repentigny,23%,32%,25%,20%
35086,Richmond Centre,13%,32%,16%,39%
24060,Richmond Hill,13%,25%,17%,45%
59025,Richmond--Arthabaska,34%,27%,23%,16%
35087,Rimouski-Neigette--Témiscouata--Les Basques,26%,26%,26%,22%
24061,Rivière-des-Mille-Îles,23%,30%,25%,22%
24018,Rivière-du-Nord,30%,31%,24%,15%
24062,Rosemont--La Petite-Patrie,14%,18%,21%,48%
24063,Saanich--Gulf Islands,12%,32%,21%,35%
24064,Sackville--Preston--Chezzetcook,18%,32%,29%,21%
59027,Saint Boniface--Saint Vital,16%,32%,21%,32%
12008,Saint John--Rothesay,18%,35%,25%,22%
46009,Saint-Hyacinthe--Bagot,34%,31%,22%,14%
13009,Saint-Jean,27%,31%,24%,18%
24066,Saint-Laurent,17%,23%,19%,42%
24067,Saint-Léonard--Saint-Michel,32%,28%,19%,21%
24068,Saint-Maurice--Champlain,31%,29%,25%,15%
24069,Salaberry--Suroît,33%,32%,22%,13%
24070,Sarnia--Lambton,17%,33%,33%,17%
24071,Saskatchewan,22%,36%,20%,22%
35091,Saskatoon West,21%,37%,20%,22%
47,Saskatoon--Grasswood,13%,31%,19%,37%
47012,Saskatoon--University,12%,30%,19%,39%
47010,Sault Ste. Marie,19%,33%,29%,20%
47011,Scarborough Centre,20%,33%,20%,27%
35092,Scarborough North,25%,33%,17%,25%
35094,Scarborough Southwest,19%,31%,20%,29%
35096,Scarborough--Agincourt,21%,30%,17%,31%
35098,Scarborough--Guildwood,20%,32%,20%,28%
35093,Scarborough--Rouge Park,17%,33%,23%,28%
35095,Selkirk--Interlake--Eastman,26%,36%,23%,14%
35097,Shefford,31%,32%,21%,15%
46010,Sherbrooke,22%,25%,24%,29%
24072,Sherwood Park--Fort Saskatchewan,15%,34%,28%,24%
24073,Simcoe North,22%,34%,29%,15%
48032,Simcoe--Grey,20%,36%,27%,18%
35100,Skeena--Bulkley Valley,29%,35%,21%,14%
35099,Souris--Moose Mountain,25%,41%,20%,13%
59028,South Okanagan--West Kootenay,21%,35%,27%,17%
47013,South Shore--St. Margarets,26%,28%,26%,19%
59029,South Surrey--White Rock,12%,32%,22%,34%
12009,Spadina--Fort York,5%,15%,14%,66%
59030,St. Albert--Edmonton,16%,33%,25%,26%
35101,St. Catharines,18%,35%,26%,21%
48031,St. John's East,13%,26%,25%,36%
35089,St. John's South--Mount Pearl,17%,30%,29%,24%
10006,Steveston--Richmond East,14%,33%,17%,37%
10007,Stormont--Dundas--South Glengarry,23%,35%,29%,13%
59031,Sturgeon River--Parkland,21%,38%,27%,15%
35102,Sudbury,20%,28%,30%,23%
48033,Surrey Centre,24%,38%,18%,20%
