,FED ID,Federal Electoral Districts_x,No Certificate,Secondary School Diploma,Non-university certificate or diploma,University level or above,ï»¿Province,Party Won
32,35010,Brampton North,20%,33%,21%,26%,Ontario,Liberal
33,35011,Brampton South,19%,31%,21%,29%,Ontario,Liberal
34,35012,Brampton West,17%,31%,21%,30%,Ontario,Liberal
35,46001,Brandon--Souris,23%,36%,23%,18%,Manitoba,Conservative
36,35013,Brantford--Brant,21%,35%,28%,16%,Ontario,Conservative
37,24016,Brome--Missisquoi,27%,31%,21%,22%,Quebec,Liberal
38,24017,Brossard--Saint-Lambert,14%,23%,21%,42%,Quebec,Liberal
39,35014,Bruce--Grey--Owen Sound,25%,33%,28%,15%,Ontario,Conservative
40,35015,Burlington,13%,29%,27%,31%,Ontario,Liberal
41,59002,Burnaby North--Seymour,12%,32%,19%,37%,British Columba,Liberal
42,59003,Burnaby South,12%,29%,19%,41%,British Columba,NDP
43,48004,Calgary Centre,7%,21%,16%,55%,Alberta,Liberal
44,48005,Calgary Confederation,9%,23%,17%,51%,Alberta,Conservative
45,48006,Calgary Forest Lawn,28%,37%,19%,16%,Alberta,Conservative
46,48007,Calgary Heritage,12%,29%,21%,38%,Alberta,Conservative
47,48008,Calgary Midnapore,13%,31%,23%,33%,Alberta,Conservative
48,48009,Calgary Nose Hill,15%,30%,20%,35%,Alberta,Conservative
49,48010,Calgary Rocky Ridge,10%,24%,21%,45%,Alberta,Conservative
50,48011,Calgary Shepard,15%,31%,24%,30%,Alberta,Conservative
51,48012,Calgary Signal Hill,11%,24%,18%,46%,Alberta,Conservative
52,48013,Calgary Skyview,21%,34%,18%,27%,Alberta,Liberal
53,35016,Cambridge,23%,35%,25%,17%,Ontario,Liberal
54,12001,Cape Breton--Canso,26%,29%,28%,17%,Nova Scotia,Liberal
55,11001,Cardigan,19%,30%,29%,23%,Prince Edward Island,Liberal
56,59004,Cariboo--Prince George,25%,39%,20%,16%,British Columba,Conservative
57,35088,Carleton,11%,26%,26%,37%,Ontario,Conservative
58,47004,Carlton Trail--Eagle Creek,23%,37%,24%,16%,Saskatchewan,Conservative
59,12002,Central Nova,24%,29%,28%,19%,Nova Scotia,Liberal
60,59005,Central Okanagan--Similkameen--Nicola,18%,36%,27%,19%,British Columba,Conservative
61,24019,Charlesbourg--Haute-Saint-Charles,18%,28%,29%,25%,Quebec,Conservative
62,46002,Charleswood--St. James--Assiniboia--Headingley,15%,36%,23%,27%,Manitoba,Liberal
63,11002,Charlottetown,15%,28%,26%,31%,Prince Edward Island,Liberal
64,24021,ChÃ¢teauguay--Lacolle,27%,34%,23%,16%,Quebec,Liberal
65,35017,Chatham-Kent--Leamington,28%,32%,27%,13%,Ontario,Conservative
66,24022,Chicoutimi--Le Fjord,24%,26%,25%,25%,Quebec,Liberal
67,59006,Chilliwack--Hope,22%,41%,22%,15%,British Columba,Conservative
68,46003,Churchill--Keewatinook Aski,50%,27%,14%,10%,Manitoba,NDP
69,59007,Cloverdale--Langley City,17%,38%,23%,22%,British Columba,Liberal
70,10003,Coast of Bays--Central--Notre Dame,34%,30%,25%,10%,Newfoundland and Labrador,Liberal
71,24023,Compton--Stanstead,27%,28%,23%,22%,Quebec,Liberal
72,59008,Coquitlam--Port Coquitlam,13%,33%,21%,32%,British Columba,Liberal
73,59009,Courtenay--Alberni,20%,35%,25%,19%,British Columba,NDP
74,59010,Cowichan--Malahat--Langford,19%,36%,25%,20%,British Columba,NDP
75,12003,Cumberland--Colchester,24%,32%,27%,17%,Nova Scotia,Liberal
76,47002,Cypress Hills--Grasslands,24%,39%,23%,14%,Saskatchewan,Conservative
77,12004,Dartmouth--Cole Harbour,16%,30%,26%,29%,Nova Scotia,Liberal
78,46004,Dauphin--Swan River--Neepawa,34%,34%,21%,11%,Manitoba,Conservative
79,35018,Davenport,22%,25%,17%,36%,Ontario,Liberal
80,59011,Delta,16%,36%,21%,26%,British Columba,Liberal
81,47003,DesnethÃ©--Missinippi--Churchill River,48%,28%,15%,9%,Saskatchewan,NDP
82,35019,Don Valley East,16%,28%,19%,37%,Ontario,Liberal
83,35020,Don Valley North,11%,23%,16%,50%,Ontario,Liberal
84,35021,Don Valley West,11%,20%,13%,56%,Ontario,Liberal
85,24024,Dorval--Lachine--LaSalle,21%,29%,21%,28%,Quebec,Liberal
86,24025,Drummond,31%,29%,24%,15%,Quebec,NDP
87,35022,Dufferin--Caledon,18%,34%,27%,21%,Ontario,Conservative
88,35023,Durham,16%,32%,32%,20%,Ontario,Conservative
89,48014,Edmonton Centre,14%,29%,19%,38%,Alberta,Liberal
90,48015,Edmonton Griesbach,27%,35%,21%,17%,Alberta,Conservative
91,48016,Edmonton Manning,21%,36%,23%,20%,Alberta,Conservative
92,48017,Edmonton Mill Woods,18%,35%,21%,26%,Alberta,Liberal
93,48018,Edmonton Riverbend,10%,24%,19%,47%,Alberta,Conservative
94,48019,Edmonton Strathcona,11%,27%,18%,44%,Alberta,NDP
95,48020,Edmonton West,16%,32%,22%,30%,Alberta,Conservative
96,48021,Edmonton--Wetaskiwin,17%,33%,23%,27%,Alberta,Conservative
97,35024,Eglinton--Lawrence,14%,23%,15%,48%,Ontario,Liberal
