,FED ID,Federal Electoral Districts_x,No Certificate,Secondary School Diploma,Non-university certificate or diploma,University level or above,ï»¿Province,Party Won
29,48003,Bow River,28.00%,36.00%,22.00%,14.00%,Alberta,Conservative
30,35008,Brampton Centre,20.00%,35.00%,22.00%,22.00%,Ontario,Liberal
31,35009,Brampton East,22.00%,32.00%,16.00%,29.00%,Ontario,Liberal
32,35010,Brampton North,20.00%,33.00%,21.00%,26.00%,Ontario,Liberal
33,35011,Brampton South,19.00%,31.00%,21.00%,29.00%,Ontario,Liberal
34,35012,Brampton West,17.00%,31.00%,21.00%,30.00%,Ontario,Liberal
35,46001,Brandon--Souris,23.00%,36.00%,23.00%,18.00%,Manitoba,Conservative
36,35013,Brantford--Brant,21.00%,35.00%,28.00%,16.00%,Ontario,Conservative
37,24016,Brome--Missisquoi,27.00%,31.00%,21.00%,22.00%,Quebec,Liberal
38,24017,Brossard--Saint-Lambert,14.00%,23.00%,21.00%,42.00%,Quebec,Liberal
39,35014,Bruce--Grey--Owen Sound,25.00%,33.00%,28.00%,15.00%,Ontario,Conservative
40,35015,Burlington,13.00%,29.00%,27.00%,31.00%,Ontario,Liberal
41,59002,Burnaby North--Seymour,12.00%,32.00%,19.00%,37.00%,British Columba,Liberal
42,59003,Burnaby South,12.00%,29.00%,19.00%,41.00%,British Columba,NDP
43,48004,Calgary Centre,7.00%,21.00%,16.00%,55.00%,Alberta,Liberal
44,48005,Calgary Confederation,9.00%,23.00%,17.00%,51.00%,Alberta,Conservative
45,48006,Calgary Forest Lawn,28.00%,37.00%,19.00%,16.00%,Alberta,Conservative
46,48007,Calgary Heritage,12.00%,29.00%,21.00%,38.00%,Alberta,Conservative
47,48008,Calgary Midnapore,13.00%,31.00%,23.00%,33.00%,Alberta,Conservative
48,48009,Calgary Nose Hill,15.00%,30.00%,20.00%,35.00%,Alberta,Conservative
49,48010,Calgary Rocky Ridge,10.00%,24.00%,21.00%,45.00%,Alberta,Conservative
50,48011,Calgary Shepard,15.00%,31.00%,24.00%,30.00%,Alberta,Conservative
51,48012,Calgary Signal Hill,11.00%,24.00%,18.00%,46.00%,Alberta,Conservative
52,48013,Calgary Skyview,21.00%,34.00%,18.00%,27.00%,Alberta,Liberal
53,35016,Cambridge,23.00%,35.00%,25.00%,17.00%,Ontario,Liberal
54,12001,Cape Breton--Canso,26.00%,29.00%,28.00%,17.00%,Nova Scotia,Liberal
55,11001,Cardigan,19.00%,30.00%,29.00%,23.00%,Prince Edward Island,Liberal
56,59004,Cariboo--Prince George,25.00%,39.00%,20.00%,16.00%,British Columba,Conservative
57,35088,Carleton,11.00%,26.00%,26.00%,37.00%,Ontario,Conservative
58,47004,Carlton Trail--Eagle Creek,23.00%,37.00%,24.00%,16.00%,Saskatchewan,Conservative
59,12002,Central Nova,24.00%,29.00%,28.00%,19.00%,Nova Scotia,Liberal
60,59005,Central Okanagan--Similkameen--Nicola,18.00%,36.00%,27.00%,19.00%,British Columba,Conservative
61,24019,Charlesbourg--Haute-Saint-Charles,18.00%,28.00%,29.00%,25.00%,Quebec,Conservative
62,46002,Charleswood--St. James--Assiniboia--Headingley,15.00%,36.00%,23.00%,27.00%,Manitoba,Liberal
63,11002,Charlottetown,15.00%,28.00%,26.00%,31.00%,Prince Edward Island,Liberal
64,24021,ChÃ¢teauguay--Lacolle,27.00%,34.00%,23.00%,16.00%,Quebec,Liberal
65,35017,Chatham-Kent--Leamington,28.00%,32.00%,27.00%,13.00%,Ontario,Conservative
66,24022,Chicoutimi--Le Fjord,24.00%,26.00%,25.00%,25.00%,Quebec,Liberal
67,59006,Chilliwack--Hope,22.00%,41.00%,22.00%,15.00%,British Columba,Conservative
68,46003,Churchill--Keewatinook Aski,50.00%,27.00%,14.00%,10.00%,Manitoba,NDP
