Prov/Terr,FED ID,Federal Electoral Districts,Total,Total Income,"Under $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999","$55,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","$100,000 to $149,999","$150,000 to $249,999","$250,000 and over",
13,13009,Saint John--Rothesay,33860,1195552000 ,2770 ,2660 ,3200 ,3790 ,3560 ,2730 ,2200 ,2190 ,2080 ,1670 ,1100 ,970 ,1320 ,1180 ,770 ,460 ,830 ,260 ,100 ,
13,13010,Tobique--Mactaquac,28350,864512000 ,3140 ,2460 ,2920 ,3590 ,2910 ,2200 ,1980 ,1780 ,1520 ,1210 ,780 ,650 ,910 ,890 ,530 ,290 ,450 ,120 ,40 ,
TOTAL,,,316660,10519865000 ,28080 ,25260 ,31030 ,39270 ,31940 ,25600 ,22120 ,19700 ,18030 ,14660 ,9980 ,8350 ,12290 ,11040 ,7050 ,3780 ,6130 ,1780 ,570 ,
24,24001,Abitibi--Baie-James--Nunavik--Eeyou,31510,908783000 ,6690 ,2630 ,3130 ,3340 ,2460 ,1870 ,1740 ,1610 ,1350 ,1170 ,930 ,750 ,1120 ,890 ,590 ,350 ,660 ,160 ,70 ,
24,24002,Abitibi--Témiscamingue,41750,1319401000 ,4160 ,3440 ,4640 ,5690 ,3950 ,2950 ,2640 ,2640 ,2280 ,1920 ,1400 ,1090 ,1580 ,1330 ,680 ,420 ,630 ,210 ,100 ,
24,24003,Ahuntsic-Cartierville,47360,1670041000 ,6540 ,3890 ,4570 ,5970 ,3920 ,2760 ,2430 ,2350 ,2150 ,1900 ,1560 ,1360 ,2060 ,1770 ,1160 ,710 ,1480 ,530 ,240 ,
24,24004,Alfred-Pellan,42060,1610897000 ,3700 ,2720 ,3890 ,4160 ,3670 ,2870 ,2730 ,2800 ,2480 ,2310 ,1760 ,1430 ,2190 ,1930 ,1100 ,660 ,1100 ,420 ,160 ,
24,24005,Argenteuil--La Petite-Nation,39300,1276445000 ,3200 ,3350 ,4630 ,4960 ,3860 ,2910 ,2510 ,2410 ,2170 ,1820 ,1370 ,1120 ,1740 ,1290 ,700 ,440 ,590 ,160 ,80 ,
24,24006,Avignon--La Mitis--Matane--Matapédia,30470,845765000 ,2870 ,2530 ,4150 ,5010 ,3070 ,2290 ,1930 ,1770 ,1620 ,1280 ,870 ,610 ,860 ,730 ,350 ,170 ,260 ,80 ,30 ,
24,24007,Beauce,43640,1345498000 ,2920 ,3080 ,5450 ,5890 ,4740 ,3750 ,3340 ,3080 ,2690 ,2010 ,1520 ,1030 ,1490 ,1220 ,510 ,290 ,410 ,150 ,80 ,
24,24008,Beauport--Limoilou,41100,1358139000 ,2190 ,2810 ,4140 ,5790 ,4070 ,3320 ,3060 ,2920 ,2710 ,2350 ,1680 ,1330 ,1760 ,1260 ,670 ,370 ,510 ,120 ,40 ,
24,24009,Bécancour--Nicolet--Saurel,39430,1177775000 ,3170 ,3320 ,4910 ,5930 ,4140 ,2970 ,2690 ,2450 ,2170 ,1730 ,1270 ,910 ,1320 ,1020 ,510 ,280 ,460 ,140 ,60 ,
24,24010,Bellechasse--Les Etchemins--Lévis,48600,1720334000 ,2820 ,3050 ,4860 ,6090 ,4510 ,3750 ,3640 ,3420 ,3210 ,2930 ,2040 ,1580 ,2300 ,1680 ,910 ,570 ,870 ,260 ,110 ,
24,24011,Beloeil--Chambly,47750,1968773000 ,2940 ,2690 ,3970 ,4630 ,4030 ,3350 ,3120 ,3110 ,3040 ,2800 ,2260 ,1850 ,2920 ,2470 ,1450 ,920 ,1570 ,480 ,180 ,
24,24012,Berthier--Maskinongé,43010,1254367000 ,3700 ,3640 ,5540 ,6310 ,4530 ,3440 ,2900 ,2580 ,2310 ,1880 ,1360 ,960 ,1300 ,1070 ,570 ,260 ,450 ,150 ,60 ,
24,24013,Thérèse-De Blainville,42280,1753650000 ,3190 ,2760 ,3620 ,4350 ,3600 ,2820 ,2560 ,2730 ,2500 ,2280 ,1760 ,1580 ,2270 ,2000 ,1220 ,800 ,1450 ,560 ,240 ,
24,24014,Pierre-Boucher--Les Patriotes--Verchères,41610,1869673000 ,2680 ,2270 ,3070 ,3720 ,3210 ,2720 ,2620 ,2750 ,2570 ,2520 ,1990 ,1650 ,2650 ,2280 ,1380 ,890 ,1750 ,630 ,280 ,
24,24015,Bourassa,40810,1035247000 ,5330 ,4260 ,5130 ,6430 ,4490 ,2960 ,2300 ,2050 ,1780 ,1410 ,1020 ,730 ,1080 ,710 ,430 ,220 ,350 ,100 ,30 ,
24,24016,Brome--Missisquoi,44140,1566681000 ,3080 ,3230 ,4740 ,5690 ,4630 ,3560 ,3120 ,2900 ,2490 ,2110 ,1510 ,1150 ,1710 ,1400 ,790 ,540 ,940 ,410 ,160 ,
24,24017,Brossard--Saint-Lambert,46210,1949178000 ,5070 ,3090 ,3990 ,4330 ,3500 ,2770 ,2480 ,2650 ,2310 ,2410 ,1860 ,1630 ,2560 ,2210 ,1340 ,910 ,1940 ,850 ,340 ,
24,24018,Rimouski-Neigette--Témiscouata--Les Basques,36800,1192777000 ,2430 ,2530 ,4190 ,5370 ,3580 ,2950 ,2690 ,2490 ,2210 ,1850 ,1320 ,1000 ,1420 ,1180 ,580 ,320 ,460 ,170 ,80 ,
24,24019,Charlesbourg--Haute-Saint-Charles,45210,1702088000 ,2250 ,2280 ,3590 ,4470 ,4100 ,3520 ,3480 ,3620 ,3530 ,3120 ,2330 ,1820 ,2660 ,1910 ,1030 ,510 ,730 ,210 ,60 ,
24,24020,Beauport--Côte-de-Beaupré--Île d’Orléans--Charlevoix,39220,1401729000 ,2170 ,2470 ,3680 ,4820 ,3720 ,2940 ,2760 ,2820 ,2750 ,2420 ,1790 ,1320 ,1890 ,1470 ,830 ,420 ,650 ,230 ,70 ,
24,24021,Châteauguay--Lacolle,39880,1342914000 ,3410 ,2890 ,3960 ,4420 ,4010 ,3050 ,2800 ,2750 ,2480 ,2050 ,1630 ,1220 ,1710 ,1380 ,750 ,440 ,660 ,210 ,70 ,
24,24022,Chicoutimi--Le Fjord,34460,1127861000 ,2560 ,2640 ,3840 ,4890 ,3590 ,2730 ,2390 ,2150 ,1810 ,1690 ,1110 ,890 ,1300 ,1140 ,550 ,320 ,560 ,220 ,90 ,
24,24023,Compton--Stanstead,41950,1431250000 ,3120 ,2920 ,4520 ,4930 ,4040 ,3220 ,3090 ,2970 ,2720 ,2150 ,1590 ,1250 ,1790 ,1340 ,800 ,440 ,730 ,250 ,110 ,
24,24024,Dorval--Lachine--LaSalle,47100,1588526000 ,5340 ,3940 ,4890 ,5410 ,4370 ,3220 ,2850 ,2840 ,2430 ,2110 ,1640 ,1320 ,1980 ,1590 ,1000 ,590 ,1100 ,360 ,140 ,
24,24025,Drummond,42260,1273661000 ,3210 ,3460 ,5190 ,6030 ,4460 ,3380 ,3020 ,2810 ,2530 ,1930 ,1320 ,890 ,1360 ,1170 ,530 ,300 ,450 ,160 ,70 ,
24,24026,Gaspésie--Les Îles-de-la-Madeleine,33930,1009794000 ,2360 ,2610 ,4350 ,5530 ,3560 ,2730 ,2270 ,2140 ,1850 ,1590 ,1080 ,790 ,1000 ,870 ,480 ,260 ,320 ,100 ,60 ,
24,24027,Gatineau,44440,1725067000 ,2950 ,3040 ,3980 ,4320 ,3650 ,2720 ,2630 ,2860 ,2510 ,2660 ,2080 ,2070 ,3020 ,2140 ,1480 ,910 ,1190 ,210 ,50 ,
24,24028,Hochelaga,42720,1422959000 ,4050 ,3710 ,4480 ,5230 ,3860 ,2990 ,2690 ,2560 ,2320 ,1940 ,1580 ,1330 ,1980 ,1410 ,790 ,540 ,890 ,260 ,90 ,
24,24029,Honoré-Mercier,44260,1473796000 ,4350 ,3200 ,4500 ,5370 ,4460 ,3170 ,2810 ,2760 ,2580 ,2120 ,1670 ,1260 ,1930 ,1510 ,850 ,520 ,880 ,260 ,80 ,
24,24030,Hull--Aylmer,41450,1764472000 ,3470 ,2960 ,3590 ,3630 ,2870 ,2220 ,2080 ,2180 ,2050 ,2200 ,1830 ,1710 ,2890 ,2320 ,1790 ,1230 ,1930 ,420 ,110 ,
24,24031,Joliette,44300,1352095000 ,3820 ,3700 ,5310 ,6420 ,4630 ,3320 ,2950 ,2750 ,2330 ,2080 ,1370 ,1030 ,1520 ,1290 ,670 ,340 ,520 ,170 ,90 ,
24,24032,Jonquière,36650,1157252000 ,3120 ,2830 ,4000 ,4850 ,3800 ,2960 ,2640 ,2420 ,1990 ,1730 ,1210 ,940 ,1380 ,1190 ,570 ,280 ,510 ,160 ,70 ,
24,24033,La Pointe-de-l'Île,45010,1495416000 ,3630 ,3500 ,4640 ,5570 ,4280 ,3160 ,3020 ,3020 ,2720 ,2210 ,1810 ,1430 ,2070 ,1570 ,890 ,510 ,790 ,180 ,40 ,
24,24034,La Prairie,44350,1787597000 ,4600 ,2720 ,3630 ,3920 ,3420 ,2700 ,2580 ,2720 ,2650 ,2410 ,2030 ,1620 ,2630 ,2230 ,1370 ,850 ,1610 ,500 ,170 ,
24,24035,Lac-Saint-Jean,43130,1235911000 ,4030 ,3800 ,5430 ,6470 ,4480 ,3440 ,2840 ,2640 ,2160 ,1860 ,1280 ,900 ,1220 ,1190 ,530 ,290 ,370 ,150 ,60 ,
24,24036,Lac-Saint-Louis,45140,2089262000 ,5470 ,2930 ,3340 ,3510 ,3120 ,2510 ,2360 ,2560 ,2290 ,2180 ,1840 ,1640 ,2630 ,2340 ,1550 ,1090 ,2300 ,1050 ,450 ,
24,24037,LaSalle--Émard--Verdun,45540,1494976000 ,4690 ,3790 ,4870 ,5550 ,4110 ,3020 ,2820 ,2650 ,2530 ,2170 ,1690 ,1400 ,2030 ,1460 ,960 ,580 ,910 ,230 ,80 ,
24,24038,Laurentides--Labelle,49690,1655379000 ,3720 ,3810 ,5730 ,6910 ,5090 ,3940 ,3420 ,3180 ,2620 ,2420 ,1600 ,1280 ,1860 ,1490 ,800 ,500 ,810 ,350 ,170 ,
