Prov/Terr,FED ID,Federal Electoral Districts,Total,Total Income,"Under $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999","$55,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","$100,000 to $149,999","$150,000 to $249,999","$250,000 and over",
24,24078,Vimy,48200,1521791000 ,5630 ,3780 ,5070 ,6250 ,4780 ,3350 ,2990 ,2920 ,2560 ,2140 ,1600 ,1250 ,1910 ,1460 ,830 ,450 ,890 ,260 ,80 ,
TOTAL,,,3372020,119408022000 ,309220 ,249160 ,345480 ,405820 ,308290 ,235810 ,214610 ,209490 ,189210 ,166760 ,126730 ,101490 ,152350 ,123200 ,72960 ,44390 ,77820 ,27300 ,11950 ,
35,35001,Ajax,47760,1870381000 ,6910 ,3130 ,4150 ,4250 ,3220 ,2480 ,2410 ,2310 ,2400 ,2290 ,1930 ,1670 ,2800 ,2110 ,1520 ,1470 ,2080 ,500 ,150 ,
35,35002,Algoma--Manitoulin--Kapuskasing,32420,997832000 ,4060 ,2290 ,3670 ,4410 ,3450 ,2060 ,1930 ,1820 ,1520 ,1400 ,990 ,820 ,1190 ,860 ,590 ,600 ,600 ,130 ,40 ,
35,35003,Aurora--Oak Ridges--Richmond Hill,46170,2004420000 ,7840 ,3510 ,4070 ,3890 ,2710 ,2120 ,1920 ,1860 ,1830 ,1850 ,1500 ,1370 ,2300 ,1920 ,1610 ,1670 ,2790 ,1040 ,380 ,
35,35004,Barrie--Innisfil,43300,1636907000 ,4820 ,2970 ,4170 ,4090 ,3650 ,2780 ,2660 ,2560 ,2340 ,2080 ,1620 ,1380 ,2180 ,1570 ,1200 ,1270 ,1450 ,400 ,120 ,
35,35005,Barrie--Springwater--Oro-Medonte,39160,1535003000 ,3620 ,2740 ,3780 ,3970 ,3530 ,2640 ,2360 ,2260 ,2030 ,1950 ,1330 ,1240 ,1950 ,1480 ,1090 ,1140 ,1420 ,490 ,150 ,
35,35006,Bay of Quinte,46630,1657729000 ,3720 ,2900 ,4860 ,5450 ,4980 ,3430 ,3110 ,3030 ,2650 ,2330 ,1680 ,1450 ,2070 ,1480 ,970 ,940 ,1120 ,370 ,110 ,
35,35007,Beaches--East York,43720,2131932000 ,5290 ,2840 ,3890 ,4130 ,3060 ,2170 ,1990 ,1820 ,1740 ,1730 ,1440 ,1310 ,2300 ,1930 ,1610 ,1640 ,3020 ,1300 ,500 ,
35,35008,Brampton Centre,41160,1259882000 ,6510 ,3200 ,4200 ,4340 ,3410 ,2700 ,2490 ,2390 ,2220 ,1970 ,1520 ,1170 ,1720 ,1160 ,720 ,570 ,660 ,150 ,60 ,
35,35009,Brampton East,50000,1408489000 ,10370 ,4490 ,5920 ,5260 ,3340 ,3030 ,2710 ,2490 ,2220 ,1820 ,1410 ,1160 ,1610 ,1150 ,870 ,820 ,1040 ,250 ,70 ,
35,35010,Brampton North,48340,1553323000 ,8290 ,3890 ,4830 ,4590 ,3620 ,3060 ,2670 ,2560 ,2450 ,2200 ,1720 ,1380 ,2070 ,1450 ,1050 ,970 ,1170 ,290 ,90 ,
35,35011,Brampton South,49870,1531475000 ,9020 ,3970 ,5430 ,5080 ,3880 ,3030 ,2760 ,2600 ,2380 ,2140 ,1600 ,1350 ,1940 ,1400 ,940 ,850 ,1130 ,280 ,90 ,
35,35012,Brampton West,52320,1614553000 ,9920 ,4300 ,5370 ,4880 ,3400 ,2940 ,2780 ,2680 ,2680 ,2360 ,2000 ,1570 ,2340 ,1640 ,1160 ,960 ,1110 ,190 ,40 ,
35,35013,Brantford--Brant,50320,1774504000 ,4690 ,3270 ,5110 ,5580 ,5260 ,3590 ,3220 ,3100 ,2950 ,2510 ,1830 ,1490 ,2150 ,1540 ,1190 ,1080 ,1300 ,340 ,120 ,
35,35014,Bruce--Grey--Owen Sound,43460,1531784000 ,3570 ,2700 ,4620 ,5170 ,4660 ,3160 ,3010 ,2810 ,2450 ,2290 ,1520 ,1210 ,1850 ,1280 ,840 ,840 ,1020 ,340 ,120 ,
35,35015,Burlington,52760,2569912000 ,4160 ,2760 ,3590 ,4200 ,4400 ,3120 ,3000 ,3190 ,2910 ,2980 ,2230 ,1980 ,3280 ,2590 ,1970 ,1820 ,2960 ,1180 ,470 ,
35,35016,Cambridge,50630,1899725000 ,4940 ,3280 ,4980 ,5160 ,4830 ,3410 ,3210 ,3190 ,2890 ,2480 ,2010 ,1600 ,2380 ,1680 ,1230 ,1150 ,1500 ,520 ,190 ,
35,35017,Chatham-Kent--Leamington,44920,1534157000 ,4400 ,3050 ,4760 ,5200 ,4860 ,3280 ,3090 ,2890 ,2440 ,2080 ,1510 ,1180 ,1740 ,1250 ,880 ,870 ,1010 ,320 ,120 ,
35,35018,Davenport,42880,1582426000 ,4800 ,2990 ,4830 ,5270 ,3820 ,2550 ,2300 ,2010 ,1910 ,1710 ,1410 ,1270 ,2060 ,1490 ,1170 ,1020 ,1620 ,520 ,150 ,
35,35019,Don Valley East,40470,1533486000 ,6550 ,2720 ,3750 ,4300 ,3010 ,2350 ,2040 ,2000 ,1830 ,1650 ,1410 ,1180 ,1870 ,1430 ,1060 ,890 ,1580 ,630 ,220 ,
35,35020,Don Valley North,48770,1842608000 ,9270 ,3610 ,4520 ,4870 ,3040 ,2500 ,2320 ,2120 ,1950 ,1880 ,1490 ,1330 ,2270 ,1880 ,1360 ,1130 ,2120 ,770 ,340 ,
35,35021,Don Valley West,41510,2994271000 ,6320 ,2320 ,2690 ,2940 ,2180 ,1700 ,1490 ,1500 ,1480 ,1440 ,1210 ,1150 ,2020 ,1910 ,1580 ,1520 ,3710 ,2570 ,1780 ,
35,35022,Dufferin--Caledon,52330,2281596000 ,5290 ,3450 ,4520 ,4520 ,4130 ,2980 ,2870 ,2830 ,2770 ,2700 ,2130 ,1780 ,3060 ,2230 ,1720 ,1770 ,2430 ,840 ,320 ,
35,35023,Durham,52360,2193708000 ,5580 ,3290 ,4160 ,4220 ,4100 ,3000 ,3050 ,3030 ,2850 ,2810 ,2090 ,1890 ,3110 ,2330 ,1830 ,1980 ,2300 ,580 ,170 ,
35,35024,Eglinton--Lawrence,49390,2979123000 ,5280 ,2950 ,3890 ,4720 ,3840 ,2880 ,2480 ,2270 ,2030 ,1960 ,1630 ,1330 ,2260 ,1800 ,1520 ,1430 ,3330 ,2330 ,1460 ,
35,35025,Elgin--Middlesex--London,46770,1755528000 ,4710 ,3120 ,4460 ,4670 ,4330 ,2990 ,2950 ,2850 ,2670 ,2480 ,1790 ,1490 ,2320 ,1710 ,1180 ,1180 ,1320 ,390 ,170 ,
35,35026,Essex,51550,2215181000 ,4390 ,2940 ,4070 ,4760 ,4420 ,3320 ,3270 ,3220 ,2970 ,2840 ,2100 ,1730 ,2690 ,2150 ,1630 ,1880 ,2220 ,710 ,250 ,
35,35027,Etobicoke Centre,50940,2524001000 ,5390 ,3060 ,3930 ,4390 ,3850 ,2830 ,2630 ,2550 ,2480 ,2360 ,1990 ,1640 ,2900 ,2400 ,1840 ,1770 ,2960 ,1330 ,660 ,
35,35028,Etobicoke--Lakeshore,54540,2818017000 ,5520 ,3170 ,4460 ,4950 ,3760 ,2680 ,2600 ,2650 ,2420 ,2350 ,1990 ,1840 ,3250 ,2730 ,2220 ,1980 ,3630 ,1630 ,710 ,
35,35029,Etobicoke North,47890,1253185000 ,9120 ,4270 ,5840 ,5900 ,4120 ,3140 ,2750 ,2430 ,2070 ,1740 ,1360 ,950 ,1400 ,870 ,570 ,520 ,650 ,150 ,40 ,
35,35030,Flamborough--Glanbrook,42910,1880352000 ,4200 ,2510 ,3340 ,3410 ,3230 ,2480 ,2340 ,2470 ,2500 ,2380 ,1890 ,1630 ,2620 ,1970 ,1610 ,1590 ,1940 ,580 ,220 ,
35,35031,Glengarry--Prescott--Russell,45380,1890200000 ,3060 ,2400 ,4170 ,4950 ,3870 ,2590 ,2530 ,2580 ,2500 ,2510 ,1930 ,1800 ,3030 ,2150 ,1570 ,1500 ,1750 ,360 ,150 ,
35,35032,Guelph,53330,2217268000 ,5160 ,3490 ,4410 ,4620 ,4240 ,3150 ,3070 ,3060 ,3030 ,3040 ,2440 ,2120 ,3040 ,2340 ,1560 ,1570 ,2070 ,700 ,210 ,
35,35033,Haldimand--Norfolk,47750,1629975000 ,5740 ,3200 ,4680 ,5380 ,4730 ,3170 ,3040 ,2900 ,2650 ,2420 ,1670 ,1340 ,1970 ,1420 ,1020 ,910 ,1090 ,290 ,140 ,
35,35034,Haliburton--Kawartha Lakes--Brock,47760,1747217000 ,3790 ,3040 ,4620 ,5360 ,5160 ,3330 ,3220 ,3240 ,2840 ,2550 ,1790 ,1400 ,2010 ,1560 ,1030 ,1030 ,1280 ,380 ,150 ,
35,35035,Hamilton Centre,38760,1214669000 ,4730 ,2980 ,5170 ,5430 ,3880 ,2630 ,2160 ,1800 ,1710 ,1480 ,1130 ,900 ,1400 ,1010 ,650 ,570 ,760 ,270 ,120 ,
35,35036,Hamilton East--Stoney Creek,44740,1496866000 ,4710 ,2970 ,4660 ,5250 ,4690 ,3250 ,2860 ,2730 ,2450 ,2110 ,1590 ,1270 ,1830 ,1290 ,860 ,880 ,1010 ,280 ,70 ,
35,35037,Hamilton Mountain,44160,1486362000 ,4850 ,2950 ,4360 ,4910 ,4360 ,2990 ,2780 ,2600 ,2600 ,2330 ,1760 ,1460 ,2000 ,1280 ,910 ,850 ,910 ,190 ,80 ,
35,35038,Hamilton West--Ancaster--Dundas,46710,2135294000 ,5210 ,2810 ,3660 ,3740 ,3540 ,2530 ,2380 ,2440 ,2410 ,2390 ,1840 ,1600 ,2650 ,2250 ,1700 ,1770 ,2460 ,990 ,350 ,
35,35039,Hastings--Lennox and Addington,39740,1378400000 ,3690 ,2510 ,4170 ,4720 ,4090 ,2730 ,2540 ,2480 ,2190 ,2080 ,1480 ,1190 ,1690 ,1270 ,920 ,790 ,870 ,270 ,70 ,
35,35040,Huron--Bruce,44800,1709709000 ,3800 ,2910 ,4300 ,4590 ,4290 ,3030 ,2970 ,3000 ,2640 ,2630 ,1610 ,1300 ,1960 ,1600 ,1050 ,1000 ,1460 ,510 ,150 ,
35,35041,Kanata--Carleton,44320,2173259000 ,4860 ,2510 ,2950 ,2910 ,2470 ,1930 ,2060 ,2210 ,2210 ,2410 ,1910 ,1790 ,3190 ,2650 ,2160 ,1970 ,3040 ,830 ,280 ,
35,35042,Kenora,22980,712226000 ,5260 ,1600 ,2050 ,2160 ,1590 ,1090 ,1170 ,1100 ,1080 ,1070 ,740 ,640 ,1020 ,710 ,520 ,440 ,570 ,150 ,40 ,
35,35043,King--Vaughan,52670,2395040000 ,7350 ,3560 ,4560 ,4500 ,3500 ,2590 ,2450 ,2370 ,2340 ,2210 ,1930 ,1670 ,2890 ,2390 ,1890 ,1920 ,3000 ,1100 ,450 ,
35,35044,Kingston and the Islands,48070,2048660000 ,3990 ,2870 ,4220 ,4500 ,3950 ,2870 ,2960 ,2750 ,2570 ,2700 ,1870 ,1750 ,2760 ,2150 ,1660 ,1490 ,2060 ,710 ,250 ,
35,35045,Kitchener Centre,42770,1539573000 ,4250 ,2720 ,4190 ,4570 ,4090 ,2940 ,2820 ,2620 ,2460 ,2220 ,1650 ,1370 ,1970 ,1450 ,1010 ,900 ,1110 ,330 ,110 ,
35,35046,Kitchener--Conestoga,40130,1640787000 ,4200 ,2490 ,3280 ,3380 ,2980 ,2420 ,2490 ,2500 ,2350 ,2230 ,1710 ,1520 ,2290 ,1750 ,1270 ,1190 ,1490 ,460 ,160 ,
35,35047,Kitchener South--Hespeler,41530,1576102000 ,4840 ,2730 ,3810 ,3740 ,3480 ,2550 ,2560 ,2590 ,2350 ,2120 ,1770 ,1410 ,2090 ,1500 ,1090 ,1020 ,1330 ,410 ,150 ,
35,35048,Lambton--Kent--Middlesex,43800,1639936000 ,4240 ,2890 ,4200 ,4450 ,4150 ,2940 ,2750 ,2730 ,2570 ,2280 ,1660 ,1380 ,2080 ,1550 ,1070 ,1060 ,1240 ,390 ,180 ,
35,35049,Lanark--Frontenac--Kingston,42360,1706605000 ,3080 ,2390 ,3720 ,4200 ,3730 ,2660 ,2720 ,2790 ,2610 ,2550 ,1720 ,1570 ,2390 ,1820 ,1340 ,1120 ,1440 ,390 ,120 ,
35,35050,Leeds--Grenville--Thousand Islands and Rideau Lakes,42290,1643635000 ,3170 ,2570 ,3760 ,4410 ,3980 ,2920 ,2740 ,2840 ,2640 ,2370 ,1680 ,1490 ,2190 ,1570 ,1160 ,1080 ,1300 ,330 ,120 ,
35,35051,London--Fanshawe,47880,1509950000 ,5340 ,3450 ,5190 ,5240 ,4580 ,3370 ,3170 ,3170 ,3040 ,2530 ,1820 ,1470 ,1940 ,1210 ,850 ,660 ,660 ,160 ,40 ,
35,35052,London North Centre,50710,2086707000 ,6560 ,3410 ,4670 ,4680 ,4040 ,2900 ,2760 ,2650 ,2630 ,2460 ,1910 ,1460 ,2410 ,2060 ,1440 ,1360 ,2040 ,910 ,360 ,
35,35053,London West,53670,2292485000 ,5800 ,3090 ,4390 ,4460 ,4090 ,2960 ,2970 ,2930 ,2990 ,3000 ,2240 ,1910 ,3150 ,2600 ,1920 ,1920 ,2280 ,740 ,260 ,
35,35054,Markham--Stouffville,50340,2213275000 ,6790 ,3310 ,4150 ,4280 ,3220 ,2570 ,2420 ,2360 ,2330 ,2410 ,1880 ,1660 ,2900 ,2410 ,1810 ,1860 ,2800 ,910 ,300 ,
35,35055,Markham--Thornhill,43490,1485348000 ,8040 ,3550 ,5020 ,5060 ,2970 ,2390 ,2090 ,1870 ,1640 ,1590 ,1200 ,1060 ,1600 ,1310 ,990 ,850 ,1490 ,540 ,220 ,
35,35056,Markham--Unionville,51820,2080334000 ,9590 ,3950 ,5200 ,5180 ,2970 ,2400 ,2070 ,1980 ,2000 ,1860 ,1540 ,1430 ,2430 ,1970 ,1630 ,1430 ,2800 ,980 ,410 ,
35,35057,Milton,42200,1816968000 ,6690 ,2680 ,3180 ,2910 ,2500 ,2070 ,2010 ,2040 ,2080 ,2040 ,1790 ,1520 ,2540 ,2000 ,1630 ,1570 ,2050 ,670 ,230 ,
35,35058,Mississauga Centre,52630,1703112000 ,10840 ,3870 ,4930 ,5190 ,3620 ,2880 ,2580 ,2530 ,2370 ,2150 ,1850 ,1480 ,2410 ,1740 ,1240 ,1020 ,1430 ,390 ,120 ,
35,35059,Mississauga East--Cooksville,49920,1667138000 ,7650 ,3520 ,5000 ,5420 ,4130 ,3060 ,2920 ,2610 ,2430 ,2250 ,1720 ,1420 ,2260 ,1590 ,1110 ,960 ,1400 ,410 ,90 ,
35,35060,Mississauga--Erin Mills,50180,1904460000 ,9960 ,3730 ,4390 ,3990 ,2830 ,2290 ,2250 ,2210 ,2190 ,2170 ,1810 ,1520 ,2540 ,2000 ,1580 ,1560 ,2200 ,730 ,220 ,
35,35061,Mississauga--Lakeshore,48440,2484424000 ,5660 ,2900 ,3850 ,4070 ,3380 ,2540 ,2380 ,2350 ,2190 ,2330 ,1830 ,1480 ,2710 ,2200 ,1680 ,1620 ,3050 ,1480 ,740 ,
35,35062,Mississauga--Malton,48600,1464259000 ,9860 ,3990 ,5160 ,5050 ,3430 ,2860 ,2590 ,2260 ,2200 ,1920 ,1540 ,1220 ,1900 ,1330 ,890 ,870 ,1180 ,290 ,80 ,
35,35063,Mississauga--Streetsville,47990,1967449000 ,7320 ,3350 ,3960 ,3850 ,2950 ,2390 ,2240 ,2310 ,2320 ,2400 ,1910 ,1640 ,2770 ,2250 ,1630 ,1490 ,2300 ,690 ,220 ,
35,35064,Nepean,47060,2204821000 ,5140 ,2690 ,3350 ,3330 ,2550 ,2190 ,2130 ,2330 ,2320 ,2590 ,2080 ,2040 ,3380 ,2880 ,2360 ,2020 ,2870 ,650 ,190 ,
35,35065,Newmarket--Aurora,49610,2136200000 ,6110 ,3390 ,4220 ,4160 ,3520 ,2670 ,2470 ,2570 ,2380 ,2290 ,1890 ,1660 ,2760 ,2190 ,1760 ,1840 ,2620 ,860 ,260 ,
35,35066,Niagara Centre,46830,1554545000 ,4460 ,3180 ,5120 ,5590 ,5310 ,3450 ,3060 ,2920 ,2460 ,2320 ,1610 ,1250 ,1750 ,1280 ,860 ,880 ,980 ,270 ,90 ,
35,35067,Niagara Falls,58380,2043465000 ,5120 ,4010 ,5930 ,6980 ,6250 ,4380 ,4000 ,3700 ,3210 ,2900 ,1990 ,1540 ,2240 ,1680 ,1220 ,1160 ,1410 ,460 ,200 ,
35,35068,Niagara West,36550,1570159000 ,3120 ,2200 ,2910 ,3290 ,3290 ,2200 ,2200 ,2230 ,2130 ,2040 ,1420 ,1260 ,2010 ,1570 ,1170 ,1210 ,1590 ,530 ,190 ,
35,35069,Nickel Belt,38300,1433666000 ,3230 ,2420 ,3650 ,4180 ,3550 ,2430 ,2380 ,2390 ,2100 ,2130 ,1600 ,1340 ,1980 ,1380 ,1080 ,1090 ,1030 ,260 ,80 ,
35,35070,Nipissing--Timiskaming,38390,1383662000 ,3260 ,2580 ,4090 ,4590 ,3700 ,2510 ,2380 ,2200 ,2100 ,1970 ,1410 ,1140 ,1750 ,1360 ,960 ,950 ,1110 ,280 ,80 ,
35,35071,Northumberland--Peterborough South,48650,1870723000 ,4050 ,2870 ,4400 ,5110 ,4950 ,3460 ,3200 ,3220 ,2890 ,2570 ,1800 ,1520 ,2300 ,1720 ,1220 ,1180 ,1550 ,460 ,180 ,
35,35072,Oakville,50410,2900728000 ,6040 ,3020 ,3550 ,3670 ,3270 ,2420 ,2360 ,2310 ,2330 ,2320 ,1710 ,1550 ,2800 ,2450 ,1940 ,1760 ,3790 ,2050 ,1060 ,
35,35073,Oakville North--Burlington,50770,2571531000 ,7030 ,3330 ,3520 ,3240 ,2830 ,2170 ,2100 ,2140 ,2180 ,2280 ,1870 ,1810 ,3060 ,2720 ,2310 ,2350 ,3770 ,1540 ,530 ,
35,35074,Oshawa,51860,1802511000 ,5130 ,3640 ,5420 ,5720 ,5090 ,3610 ,3230 ,3130 ,2910 ,2560 ,1950 ,1520 ,2450 ,1660 ,1120 ,1020 ,1330 ,290 ,90 ,
35,35075,Ottawa Centre,46480,2716748000 ,3750 ,2360 ,3480 ,3550 ,2440 ,1920 ,1820 ,1870 ,1880 ,2090 ,1780 ,1790 ,3150 ,2950 ,2460 ,2180 ,4640 ,1770 ,600 ,
35,35076,Orléans,52340,2632160000 ,4160 ,2450 ,3280 ,3250 ,2750 ,2380 ,2380 ,2580 ,2800 ,3360 ,2520 ,2510 ,4410 ,3590 ,3020 ,2510 ,3470 ,750 ,180 ,
35,35077,Ottawa South,49040,2119519000 ,6420 ,3310 ,4470 ,4410 ,3030 ,2440 ,2210 ,2270 ,2210 ,2280 ,1840 ,1680 ,2820 ,2410 ,1840 ,1600 ,2690 ,870 ,260 ,
35,35078,Ottawa--Vanier,46320,2099947000 ,4550 ,3020 ,4380 ,4540 ,3190 ,2330 ,2120 ,2200 ,2140 ,2210 ,1710 ,1640 ,2720 ,2220 ,1780 ,1490 ,2840 ,920 ,320 ,
35,35079,Ottawa West--Nepean,46440,2032480000 ,4800 ,2870 ,3900 ,4070 ,3350 ,2530 ,2430 ,2410 ,2370 ,2460 ,1920 ,1600 ,2750 ,2240 ,1850 ,1510 ,2470 ,720 ,210 ,
35,35080,Oxford,47100,1771791000 ,3860 ,3040 ,4350 ,4910 ,4700 ,3130 ,2990 ,3010 ,2910 ,2630 ,2040 ,1580 ,2350 ,1640 ,1090 ,1150 ,1220 ,340 ,180 ,
35,35081,Parkdale--High Park,42510,2226074000 ,4110 ,2660 ,3490 ,4030 ,2960 ,2230 ,1960 ,1860 ,1800 ,1720 ,1510 ,1350 ,2380 ,2060 ,1590 ,1640 ,3090 ,1460 ,610 ,
35,35082,Parry Sound--Muskoka,39160,1442898000 ,3260 ,2550 ,3970 ,4450 ,4000 ,2820 ,2570 ,2550 ,2260 ,2080 ,1420 ,1060 ,1710 ,1260 ,850 ,750 ,1060 ,390 ,160 ,
35,35083,Perth--Wellington,41290,1541321000 ,3370 ,2590 ,3890 ,4180 ,4020 ,2940 ,2870 ,2820 ,2550 ,2430 ,1660 ,1320 ,1950 ,1340 ,920 ,900 ,1070 ,340 ,150 ,
35,35084,Peterborough--Kawartha,49840,1882528000 ,4060 ,2960 ,4950 ,5660 ,5100 ,3390 ,3130 ,3180 ,2780 ,2600 ,1790 ,1530 ,2390 ,1730 ,1260 ,1240 ,1510 ,470 ,140 ,
35,35085,Pickering--Uxbridge,46860,2131011000 ,5260 ,2830 ,3580 ,3830 ,3270 ,2380 ,2390 ,2470 ,2520 ,2380 ,1920 ,1740 ,2850 ,2290 ,1730 ,1720 ,2510 ,850 ,320 ,
35,35086,Renfrew--Nipissing--Pembroke,42220,1510780000 ,3710 ,2800 ,4230 ,4870 ,4050 ,2860 ,2680 ,2610 ,2370 ,2300 ,1540 ,1320 ,2040 ,1510 ,990 ,890 ,1100 ,280 ,90 ,
35,35087,Richmond Hill,49560,2018375000 ,8510 ,3480 ,5010 ,4890 ,3290 ,2360 ,2210 ,2090 ,2010 ,1890 ,1530 ,1340 ,2320 ,1900 ,1510 ,1350 ,2540 ,920 ,420 ,
35,35088,Carleton,41290,2194338000 ,3560 ,2060 ,2490 ,2530 ,2240 ,1860 ,1890 ,1930 ,2000 ,2330 ,1810 ,1690 ,3190 ,2750 ,2270 ,2150 ,3340 ,910 ,270 ,
35,35089,St. Catharines,47950,1666498000 ,4240 ,3020 ,4880 ,5730 ,5330 ,3640 ,3310 ,3030 ,2650 ,2330 ,1700 ,1350 ,1970 ,1340 ,870 ,920 ,1150 ,350 ,130 ,
35,35090,Toronto--St. Paul's,47070,3263767000 ,4530 ,2410 ,3210 ,4020 ,3000 ,2290 ,2010 ,2010 ,2020 ,1960 ,1770 ,1550 ,2690 ,2280 ,1890 ,1700 ,3770 ,2330 ,1670 ,
35,35091,Sarnia--Lambton,43680,1684308000 ,3830 ,2760 ,3960 ,4470 ,4170 ,3060 ,2880 ,2860 ,2580 ,2550 ,1560 ,1320 ,1980 ,1560 ,1090 ,1040 ,1340 ,500 ,180 ,
35,35092,Sault Ste. Marie,34080,1200533000 ,2840 ,2230 ,3520 ,4140 ,3800 ,2220 ,2160 ,2170 ,1840 ,1600 ,1210 ,950 ,1510 ,1210 ,800 ,770 ,850 ,210 ,70 ,
35,35093,Scarborough--Agincourt,47660,1395339000 ,8410 ,3930 ,5580 ,6450 ,3820 ,2840 ,2360 ,2240 ,1910 ,1680 ,1380 ,1100 ,1760 ,1220 ,860 ,730 ,1040 ,290 ,80 ,
35,35094,Scarborough Centre,44940,1290361000 ,8030 ,3460 ,5000 ,5390 ,3830 ,2850 ,2480 ,2320 ,2040 ,1880 ,1390 ,1140 ,1700 ,1060 ,750 ,660 ,780 ,160 ,50 ,
35,35095,Scarborough--Guildwood,40880,1182773000 ,7990 ,3340 ,4470 ,4800 ,3260 ,2510 ,2130 ,1880 ,1810 ,1580 ,1230 ,950 ,1430 ,990 ,720 ,690 ,810 ,230 ,60 ,
35,35096,Scarborough North,42050,1105010000 ,8410 ,3780 ,5480 ,5520 ,3150 ,2560 ,2020 ,1890 ,1640 ,1420 ,1090 ,870 ,1360 ,850 ,630 ,520 ,650 ,170 ,50 ,
35,35097,Scarborough--Rouge Park,44380,1532100000 ,6880 ,3270 ,4570 ,4710 ,3250 ,2550 ,2200 ,2240 ,2160 ,1940 ,1590 ,1370 ,2180 ,1490 ,1100 ,1040 ,1370 ,370 ,110 ,
35,35098,Scarborough Southwest,45220,1530361000 ,7280 ,3600 ,4890 ,5030 ,3680 ,2630 ,2270 ,2050 ,1960 ,1800 ,1470 ,1280 ,1960 ,1380 ,990 ,930 ,1410 ,440 ,180 ,
35,35099,Simcoe--Grey,54410,2162230000 ,4700 ,3380 ,4740 ,5440 ,5170 ,3790 ,3480 ,3450 ,3160 ,2970 ,2110 ,1750 ,2810 ,2040 ,1430 ,1340 ,1810 ,620 ,240 ,
35,35100,Simcoe North,48880,1785244000 ,4160 ,3170 ,5010 ,5430 ,4940 ,3310 ,3160 ,2970 ,2780 ,2580 ,1780 ,1550 ,2290 ,1570 ,1150 ,1130 ,1370 ,400 ,130 ,
35,35101,Spadina--Fort York,44370,2580268000 ,4830 ,2380 ,3070 ,3300 ,2210 ,1780 ,1600 ,1630 ,1730 ,1820 ,1700 ,1670 ,3230 ,2910 ,2280 ,1870 ,4030 ,1620 ,700 ,
35,35102,Stormont--Dundas--South Glengarry,43340,1484903000 ,4200 ,2720 ,4610 ,5260 ,4420 ,2950 ,2850 ,2750 ,2420 ,2110 ,1500 ,1260 ,1960 ,1280 ,860 ,920 ,950 ,240 ,100 ,
35,35103,Sudbury,38410,1505274000 ,2960 ,2500 ,3710 ,4080 ,3760 ,2460 ,2420 ,2240 ,1990 ,1990 ,1520 ,1320 ,2010 ,1500 ,1080 ,1050 ,1290 ,420 ,130 ,
35,35104,Thornhill,49490,2238943000 ,6970 ,3440 ,4390 ,4540 ,3360 ,2530 ,2250 ,2150 ,2140 ,2030 ,1690 ,1520 ,2610 ,2110 ,1620 ,1700 ,2870 ,1110 ,490 ,
35,35105,Thunder Bay--Rainy River,33400,1206249000 ,3360 ,2190 ,3010 ,3480 ,3070 ,2120 ,2070 ,2140 ,2080 ,1900 ,1400 ,1140 ,1560 ,1180 ,840 ,750 ,850 ,210 ,70 ,
35,35106,Thunder Bay--Superior North,34010,1300509000 ,3280 ,2200 ,3200 ,3370 ,3060 ,2140 ,2040 ,2010 ,1930 ,1860 ,1300 ,1180 ,1760 ,1280 ,1010 ,860 ,1150 ,300 ,90 ,
35,35107,Timmins--James Bay,31890,1064695000 ,4110 ,2210 ,3440 ,3710 ,2960 ,2010 ,1940 ,1740 ,1510 ,1490 ,1080 ,940 ,1340 ,940 ,690 ,730 ,840 ,170 ,60 ,
35,35108,Toronto Centre,38760,1666462000 ,6740 ,2970 ,3800 ,3800 ,2310 ,1810 ,1460 ,1430 ,1500 ,1330 ,1170 ,1100 ,1910 ,1630 ,1270 ,1120 ,2120 ,920 ,390 ,
35,35109,Toronto--Danforth,41570,2096001000 ,4250 ,2740 ,3880 ,4320 ,2920 ,1940 ,1740 ,1650 ,1580 ,1500 ,1410 ,1240 ,2190 ,1930 ,1630 ,1600 ,3180 ,1410 ,490 ,
35,35110,University--Rosedale,47840,3034186000 ,6230 ,2960 ,5130 ,5300 ,3210 ,2100 ,1750 ,1580 ,1510 ,1490 ,1330 ,1180 ,2170 ,1960 ,1530 ,1320 ,3220 ,2280 ,1610 ,
35,35111,Vaughan--Woodbridge,43470,1855173000 ,4760 ,2690 ,4000 ,4250 ,3640 ,2510 ,2270 ,2090 ,2000 ,1970 ,1700 ,1430 ,2410 ,1810 ,1340 ,1630 ,2020 ,680 ,270 ,
35,35112,Waterloo,44580,1947920000 ,6720 ,2890 ,3390 ,3340 ,3090 ,2330 ,2180 ,2250 ,2110 ,2030 ,1610 ,1420 ,2530 ,2020 ,1540 ,1570 ,2300 ,930 ,340 ,
35,35113,Wellington--Halton Hills,47840,2273886000 ,4120 ,2920 ,3610 ,3740 ,3580 ,2680 ,2700 ,2620 ,2600 ,2670 ,2070 ,1830 ,2970 ,2280 ,1730 ,1880 ,2480 ,960 ,390 ,
35,35114,Whitby,50630,2315000000 ,5720 ,3140 ,3950 ,3860 ,3430 ,2530 ,2550 ,2500 ,2590 ,2520 ,1960 ,1800 ,3140 ,2620 ,1980 ,2240 ,2940 ,880 ,260 ,
