Federal Electoral Districts,No Certificate,Secondary School Diploma,Non-university certificate or diploma,University level or above,FED ID,,FED ID,Federal Electoral Districts,No Certificate,Secondary School Diploma,Non-university certificate or diploma,University level or above
Coquitlam--Port Coquitlam,144905,362220,232810,352215,59008,1092150,59008,Coquitlam--Port Coquitlam,13%,33%,21%,32%
Courtenay--Alberni,182445,322880,231775,175195,59009,912295,59009,Courtenay--Alberni,20%,35%,25%,19%
Cowichan--Malahat--Langford,168485,320940,218855,172810,59010,881090,59010,Cowichan--Malahat--Langford,19%,36%,25%,20%
Cumberland--Colchester,163985,218535,182315,112210,12003,677045,12003,Cumberland--Colchester,24%,32%,27%,17%
Cypress Hills--Grasslands,122795,201835,118790,74310,47002,517730,47002,Cypress Hills--Grasslands,24%,39%,23%,14%
Dartmouth--Cole Harbour,133760,244470,213720,236060,12004,828010,12004,Dartmouth--Cole Harbour,16%,30%,26%,29%
Dauphin--Swan River--Neepawa,227670,226825,141600,76220,46004,672315,46004,Dauphin--Swan River--Neepawa,34%,34%,21%,11%
Davenport,245640,269785,182220,399755,35018,1097400,35018,Davenport,22%,25%,17%,36%
Delta,144270,316945,186185,229060,59011,876460,59011,Delta,16%,36%,21%,26%
Desnethé--Missinippi--Churchill River,255450,151210,79095,50055,47003,535810,47003,Desnethé--Missinippi--Churchill River,48%,28%,15%,9%
Don Valley East,137820,237700,165060,312705,35019,853285,35019,Don Valley East,16%,28%,19%,37%
Don Valley North,112470,241010,171500,521355,35020,1046335,35020,Don Valley North,11%,23%,16%,50%
Don Valley West,102020,188485,119355,524695,35021,934555,35021,Don Valley West,11%,20%,13%,56%
Dorval--Lachine--LaSalle,195970,269040,189795,260980,24024,915785,24024,Dorval--Lachine--LaSalle,21%,29%,21%,28%
Drummond,225250,212405,177070,109215,24025,723940,24025,Drummond,31%,29%,24%,15%
Dufferin--Caledon,205790,377060,297260,238830,35022,1118940,35022,Dufferin--Caledon,18%,34%,27%,21%
Durham,187580,360200,360950,229900,35023,1138630,35023,Durham,16%,32%,32%,20%
Edmonton Centre,147770,298245,198560,393735,48014,1038310,48014,Edmonton Centre,14%,29%,19%,38%
Edmonton Griesbach,256065,330450,196560,163770,48015,946845,48015,Edmonton Griesbach,27%,35%,21%,17%
Edmonton Manning,218140,373450,236005,201845,48016,1029440,48016,Edmonton Manning,21%,36%,23%,20%
Edmonton Mill Woods,183275,352520,211150,263275,48017,1010220,48017,Edmonton Mill Woods,18%,35%,21%,26%
Edmonton Riverbend,109265,261265,197420,498505,48018,1066455,48018,Edmonton Riverbend,10%,24%,19%,47%
Edmonton Strathcona,107950,272895,177625,442430,48019,1000900,48019,Edmonton Strathcona,11%,27%,18%,44%
Edmonton West,166775,333330,228220,312010,48020,1040335,48020,Edmonton West,16%,32%,22%,30%
Edmonton--Wetaskiwin,215415,424320,304935,356610,48021,1301280,48021,Edmonton--Wetaskiwin,17%,33%,23%,27%
Eglinton--Lawrence,143165,237285,149250,489015,35024,1018715,35024,Eglinton--Lawrence,14%,23%,15%,48%
Egmont,81245,101945,71375,37165,11003,291730,11003,Egmont,28%,35%,24%,13%
Elgin--Middlesex--London,234015,312405,289780,140485,35025,976685,35025,Elgin--Middlesex--London,24%,32%,30%,14%
Elmwood--Transcona,162160,311140,180480,152690,46005,806470,46005,Elmwood--Transcona,20%,39%,22%,19%
Esquimalt--Saanich--Sooke,163400,362975,253920,260825,59026,1041120,59026,Esquimalt--Saanich--Sooke,16%,35%,24%,25%
Essex,182130,355170,293365,237935,35026,1068600,35026,Essex,17%,33%,27%,22%
Etobicoke Centre,157920,292520,201220,406745,35027,1058405,35027,Etobicoke Centre,15%,28%,19%,38%
Etobicoke North,265175,352200,200650,235455,35029,1053480,35029,Etobicoke North,25%,33%,19%,22%
Etobicoke--Lakeshore,157075,296395,257170,530355,35028,1240995,35028,Etobicoke--Lakeshore,13%,24%,21%,43%
Flamborough--Glanbrook,154465,284695,278140,234105,35030,951405,35030,Flamborough--Glanbrook,16%,30%,29%,25%
Fleetwood--Port Kells,189515,362620,192580,280665,59012,1025380,59012,Fleetwood--Port Kells,18%,35%,19%,27%
Foothills,161730,299130,220415,210120,48022,891395,48022,Foothills,18%,34%,25%,24%
Fort McMurray--Cold Lake,166765,318715,253095,187575,48023,926150,48023,Fort McMurray--Cold Lake,18%,34%,27%,20%
Fredericton,102430,239630,157300,249175,13003,748535,13003,Fredericton,14%,32%,21%,33%
Fundy Royal,124010,240080,187590,126660,13004,678340,13004,Fundy Royal,18%,35%,28%,19%
Gaspésie--Les Îles-de-la-Madeleine,217410,140145,126990,77135,24026,561680,24026,Gaspésie--Les Îles-de-la-Madeleine,39%,25%,23%,14%
Gatineau,222580,251735,191875,181405,24027,847595,24027,Gatineau,26%,30%,23%,21%
Glengarry--Prescott--Russell,187255,321795,261110,161370,35031,931530,35031,Glengarry--Prescott--Russell,20%,35%,28%,17%
Grande Prairie--Mackenzie,255075,344610,216235,132750,48024,948670,48024,Grande Prairie--Mackenzie,27%,36%,23%,14%
Guelph,190160,361435,258335,397120,35032,1207050,35032,Guelph,16%,30%,21%,33%
Haldimand--Norfolk,222865,323215,268340,111030,35033,925450,35033,Haldimand--Norfolk,24%,35%,29%,12%
Haliburton--Kawartha Lakes--Brock,208000,341160,285145,128180,35034,962485,35034,Haliburton--Kawartha Lakes--Brock,22%,35%,30%,13%
Halifax,105820,238190,148175,428415,12005,920600,12005,Halifax,11%,26%,16%,47%
Halifax West,111990,224175,190805,343080,12006,870050,12006,Halifax West,13%,26%,22%,39%
Hamilton Centre,233775,281485,205330,216930,35035,937520,35035,Hamilton Centre,25%,30%,22%,23%
Hamilton East--Stoney Creek,238065,332225,236180,156660,35036,963130,35036,Hamilton East--Stoney Creek,25%,34%,25%,16%
Hamilton Mountain,200220,316105,264190,158245,35037,938760,35037,Hamilton Mountain,21%,34%,28%,17%
Hamilton West--Ancaster--Dundas,134665,268725,230580,358305,35038,992275,35038,Hamilton West--Ancaster--Dundas,14%,27%,23%,36%
Hastings--Lennox and Addington,174985,267745,248085,104765,35039,795580,35039,Hastings--Lennox and Addington,22%,34%,31%,13%
Hochelaga,184530,206115,195340,320265,24028,906250,24028,Hochelaga,20%,23%,22%,35%
Honoré-Mercier,199330,228710,176180,176260,24029,780480,24029,Honoré-Mercier,26%,29%,23%,23%
Hull--Aylmer,166645,217445,186010,327965,24030,898065,24030,Hull--Aylmer,19%,24%,21%,37%
Humber River--Black Creek,311515,322145,168980,161270,35121,963910,35121,Humber River--Black Creek,32%,33%,18%,17%
Huron--Bruce,207270,275150,260970,136400,35040,879790,35040,Huron--Bruce,24%,31%,30%,16%
Joliette,238155,227235,156980,120760,24031,743130,24031,Joliette,32%,31%,21%,16%
Jonquière,140310,153750,185135,117110,24032,596305,24032,Jonquière,24%,26%,31%,20%
Kamloops--Thompson--Cariboo,193575,384805,220560,197745,59013,996685,59013,Kamloops--Thompson--Cariboo,19%,39%,22%,20%
Kanata--Carleton,107455,234255,245940,402185,35041,989835,35041,Kanata--Carleton,11%,24%,25%,41%
Kelowna--Lake Country,159880,366780,264090,224930,59014,1015680,59014,Kelowna--Lake Country,16%,36%,26%,22%
Kenora,192475,143485,111850,65730,35042,513540,35042,Kenora,37%,28%,22%,13%
Kildonan--St. Paul,132895,252755,162160,180115,46006,727925,46006,Kildonan--St. Paul,18%,35%,22%,25%
Kings--Hants,158010,211075,194500,140315,12007,703900,12007,Kings--Hants,22%,30%,28%,20%
Kingston and the Islands,145915,315650,275735,337325,35044,1074625,35044,Kingston and the Islands,14%,29%,26%,31%
King--Vaughan,188945,320250,232560,401020,35043,1142775,35043,King--Vaughan,17%,28%,20%,35%
Kitchener Centre,199470,299990,225345,253685,35045,978490,35045,Kitchener Centre,20%,31%,23%,26%
Kitchener South--Hespeler,167565,303215,251900,216315,35047,938995,35047,Kitchener South--Hespeler,18%,32%,27%,23%
Kitchener--Conestoga,189120,247470,207885,204225,35046,848700,35046,Kitchener--Conestoga,22%,29%,24%,24%
Kootenay--Columbia,163480,317530,241855,181310,59015,904175,59015,Kootenay--Columbia,18%,35%,27%,20%
La Pointe-de-l'Île,216015,239550,169590,171840,24033,796995,24033,La Pointe-de-l'Île,27%,30%,21%,22%
La Prairie,163640,224065,189405,218085,24034,795195,24034,La Prairie,21%,28%,24%,27%
Labrador,65050,57495,67635,28960,10004,219140,10004,Labrador,30%,26%,31%,13%
Lac-Saint-Jean,218430,177935,173210,107545,24035,677120,24035,Lac-Saint-Jean,32%,26%,26%,16%
Lac-Saint-Louis,100130,214110,206850,395545,24036,916635,24036,Lac-Saint-Louis,11%,23%,23%,43%
Lakeland,227205,286025,207700,113650,48025,834580,48025,Lakeland,27%,34%,25%,14%
Lambton--Kent--Middlesex,197905,285520,266980,132915,35048,883320,35048,Lambton--Kent--Middlesex,22%,32%,30%,15%
Lanark--Frontenac--Kingston,153240,281915,278670,153175,35049,867000,35049,Lanark--Frontenac--Kingston,18%,33%,32%,18%
Langley--Aldergrove,157385,372155,209670,212595,59016,951805,59016,Langley--Aldergrove,17%,39%,22%,22%
LaSalle--Émard--Verdun,186685,231620,182115,310500,24037,910920,24037,LaSalle--Émard--Verdun,20%,25%,20%,34%
Laurentides--Labelle,236930,234695,179505,161735,24038,812865,24038,Laurentides--Labelle,29%,29%,22%,20%
Laurier--Sainte-Marie,109240,182425,198250,614515,24039,1104430,24039,Laurier--Sainte-Marie,10%,17%,18%,56%
Laval--Les Îles,188100,232830,188355,232525,24040,841810,24040,Laval--Les Îles,22%,28%,22%,28%
Leeds-Grenville-Thousand Islands and Rideau Lakes,163690,290605,273550,140995,35050,868840,35050,Leeds-Grenville-Thousand Islands and Rideau Lakes,19%,33%,31%,16%
Lethbridge,190725,341475,234805,214720,48026,981725,48026,Lethbridge,19%,35%,24%,22%
Lévis--Lotbinière,151290,202540,233015,214740,24042,801585,24042,Lévis--Lotbinière,19%,25%,29%,27%
London North Centre,170460,333800,262310,421900,35052,1188470,35052,London North Centre,14%,28%,22%,35%
London West,149440,307855,293395,391450,35053,1142140,35053,London West,13%,27%,26%,34%
London--Fanshawe,245935,369950,302190,150140,35051,1068215,35051,London--Fanshawe,23%,35%,28%,14%
Long Range Mountains,223315,213065,194010,94600,10005,724990,10005,Long Range Mountains,31%,29%,27%,13%
Longueuil--Charles-LeMoyne,228970,239665,176390,190550,24041,835575,24041,Longueuil--Charles-LeMoyne,27%,29%,21%,23%
Longueuil--Saint-Hubert,182975,217715,189755,245250,24043,835695,24043,Longueuil--Saint-Hubert,22%,26%,23%,29%
Louis-Hébert,74710,160160,214990,420660,24044,870520,24044,Louis-Hébert,9%,18%,25%,48%
Louis-Saint-Laurent,140045,231975,250020,256595,24045,878635,24045,Louis-Saint-Laurent,16%,26%,28%,29%
Madawaska--Restigouche,152390,154085,118405,71965,13005,496845,13005,Madawaska--Restigouche,31%,31%,24%,14%
Malpeque,53980,90390,89050,67480,11004,300900,11004,Malpeque,18%,30%,30%,22%
Manicouagan,244120,169200,152730,90740,24046,656790,24046,Manicouagan,37%,26%,23%,14%
Manitoba,2489895,3579310,2146740,2513725,46,10729670,46,Manitoba,23%,33%,20%,23%
Marc-Aurèle-Fortin,144995,209010,199990,220150,24065,774145,24065,Marc-Aurèle-Fortin,19%,27%,26%,28%
Markham--Stouffville,160800,306570,223545,414880,35054,1105795,35054,Markham--Stouffville,15%,28%,20%,38%
Markham--Thornhill,200800,291030,144285,307620,35055,943735,35055,Markham--Thornhill,21%,31%,15%,33%
Markham--Unionville,167500,295915,180105,501480,35056,1145000,35056,Markham--Unionville,15%,26%,16%,44%
Medicine Hat--Cardston--Warner,204450,294975,211565,118350,48027,829340,48027,Medicine Hat--Cardston--Warner,25%,36%,26%,14%
Mégantic--L'Érable,215610,167380,132315,69470,24047,584775,24047,Mégantic--L'Érable,37%,29%,23%,12%
Milton,113040,245205,223735,367625,35057,949605,35057,Milton,12%,26%,24%,39%
Mirabel,219215,239735,206275,139815,24048,805040,24048,Mirabel,27%,30%,26%,17%
Miramichi--Grand Lake,150480,169900,117615,54830,13006,492825,13006,Miramichi--Grand Lake,31%,34%,24%,11%
Mission--Matsqui--Fraser Canyon,189460,301825,147025,113730,59017,752040,59017,Mission--Matsqui--Fraser Canyon,25%,40%,20%,15%
Mississauga Centre,157470,323200,215070,495665,35058,1191405,35058,Mississauga Centre,13%,27%,18%,42%
Mississauga East--Cooksville,198920,319190,219435,329360,35059,1066905,35059,Mississauga East--Cooksville,19%,30%,21%,31%
Mississauga--Erin Mills,137300,282395,207025,490190,35060,1116910,35060,Mississauga--Erin Mills,12%,25%,19%,44%
Mississauga--Lakeshore,155775,300975,221895,384060,35061,1062705,35061,Mississauga--Lakeshore,15%,28%,21%,36%
Mississauga--Malton,201985,317350,193550,372645,35062,1085530,35062,Mississauga--Malton,19%,29%,18%,34%
Mississauga--Streetsville,143050,300320,228325,409735,35063,1081430,35063,Mississauga--Streetsville,13%,28%,21%,38%
Moncton--Riverview--Dieppe,137215,259615,226670,204695,13007,828195,13007,Moncton--Riverview--Dieppe,17%,31%,27%,25%
Montarville,111890,185585,189070,253450,24049,739995,24049,Montarville,15%,25%,26%,34%
Montcalm,250475,224865,167040,97430,24050,739810,24050,Montcalm,34%,30%,23%,13%
Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,216840,172550,158745,102225,24051,650360,24051,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,33%,27%,24%,16%
Mont-Royal,111125,189745,157340,410210,24052,868420,24052,Mont-Royal,13%,22%,18%,47%
Moose Jaw--Lake Centre--Lanigan,132200,239665,142040,101925,47005,615830,47005,Moose Jaw--Lake Centre--Lanigan,21%,39%,23%,17%
Nanaimo--Ladysmith,172840,359405,232680,225775,59018,990700,59018,Nanaimo--Ladysmith,17%,36%,23%,23%
Nepean,123740,260275,257495,425805,35064,1067315,35064,Nepean,12%,24%,24%,40%
New Brunswick,1459580,2090400,1627045,1264005,13,6441030,13,New Brunswick,23%,32%,25%,20%
New Brunswick Southwest,111680,193860,150600,94315,13008,550455,13008,New Brunswick Southwest,20%,35%,27%,17%
New Westminster--Burnaby,139590,326990,225080,368640,59019,1060300,59019,New Westminster--Burnaby,13%,31%,21%,35%
Newfoundland and Labrador,1098550,1274990,1224645,806050,10,4404235,10,Newfoundland and Labrador,25%,29%,28%,18%
Newmarket--Aurora,151390,298640,248285,340570,35065,1038885,35065,Newmarket--Aurora,15%,29%,24%,33%
Niagara Centre,196605,342425,262160,157165,35066,958355,35066,Niagara Centre,21%,36%,27%,16%
Niagara Falls,224640,419710,310760,220590,35067,1175700,35067,Niagara Falls,19%,36%,26%,19%
Niagara West,121380,243730,223880,179675,35068,768665,35068,Niagara West,16%,32%,29%,23%
Nickel Belt,179565,242320,269825,113250,35069,804960,35069,Nickel Belt,22%,30%,34%,14%
Nipissing--Timiskaming,160760,224970,249220,136795,35070,771745,35070,Nipissing--Timiskaming,21%,29%,32%,18%
North Island--Powell River,181650,306040,208445,149480,59037,845615,59037,North Island--Powell River,21%,36%,25%,18%
North Okanagan--Shuswap,211515,367125,252005,154340,59020,984985,59020,North Okanagan--Shuswap,21%,37%,26%,16%
North Vancouver,95875,268820,199735,444630,59021,1009060,59021,North Vancouver,10%,27%,20%,44%
Northumberland--Peterborough South,180230,326450,292215,159415,35071,958310,35071,Northumberland--Peterborough South,19%,34%,30%,17%
Northwest Territories,213420,175665,152975,166290,61,708350,61,Northwest Territories,30%,25%,22%,23%
Notre-Dame-de-Grâce--Westmount,88815,169075,168570,517360,61001,943820,61001,Notre-Dame-de-Grâce--Westmount,9%,18%,18%,55%
Nova Scotia,1658510,2305845,2005750,1974340,24053,7944445,24053,Nova Scotia,21%,29%,25%,25%
Nunavut,305105,95645,92645,65970,12,559365,12,Nunavut,55%,17%,17%,12%
Oakville,129310,268755,205015,473015,62,1076095,62,Oakville,12%,25%,19%,44%
Oakville North--Burlington,123535,253210,226610,519205,62001,1122560,62001,Oakville North--Burlington,11%,23%,20%,46%
Ontario,21285710,35656580,27932935,35679820,35072,120555045,35072,Ontario,18%,30%,23%,30%
Orléans,132100,311570,295820,417335,35073,1156825,35073,Orléans,11%,27%,26%,36%
Oshawa,251310,416270,329080,150015,35,1146675,35,Oshawa,22%,36%,29%,13%
Ottawa Centre,101100,229345,169035,682985,35076,1182465,35076,Ottawa Centre,9%,19%,14%,58%
Ottawa South,166555,305590,212650,431135,35074,1115930,35074,Ottawa South,15%,27%,19%,39%
Ottawa West--Nepean,143030,274890,222055,396805,35075,1036780,35075,Ottawa West--Nepean,14%,27%,21%,38%
Ottawa--Vanier,160985,277720,192840,407010,35077,1038555,35077,Ottawa--Vanier,16%,27%,19%,39%
Outremont,92245,168385,152620,520480,35079,933730,35079,Outremont,10%,18%,16%,56%
Oxford,234615,340015,276745,125460,35078,976835,35078,Oxford,24%,35%,28%,13%
Papineau,231035,217395,177360,362435,24054,988225,24054,Papineau,23%,22%,18%,37%
Parkdale--High Park,118240,210885,180165,542780,35080,1052070,35080,Parkdale--High Park,11%,20%,17%,52%
Parry Sound--Muskoka,165550,276190,216830,137230,24055,795800,24055,Parry Sound--Muskoka,21%,35%,27%,17%
Peace River--Westlock,314490,276675,164405,90910,35081,846480,35081,Peace River--Westlock,37%,33%,19%,11%
Perth--Wellington,256860,303315,220695,124035,35082,904905,35082,Perth--Wellington,28%,34%,24%,14%
Peterborough--Kawartha,182145,330425,300595,221860,48028,1035025,48028,Peterborough--Kawartha,18%,32%,29%,21%
Pickering--Uxbridge,143015,319390,267485,287950,35083,1017840,35083,Pickering--Uxbridge,14%,31%,26%,28%
Pierre-Boucher--Les Patriotes--Verchères,133545,184840,193795,230170,35084,742350,35084,Pierre-Boucher--Les Patriotes--Verchères,18%,25%,26%,31%
Pierrefonds--Dollard,137700,250015,211910,313500,35085,913125,35085,Pierrefonds--Dollard,15%,27%,23%,34%
Pitt Meadows--Maple Ridge,141780,324195,212525,154340,24014,832840,24014,Pitt Meadows--Maple Ridge,17%,39%,26%,19%
Pontiac,214625,224390,210040,264415,24056,913470,24056,Pontiac,23%,25%,23%,29%
Port Moody--Coquitlam,123135,313740,206500,333555,59022,976930,59022,Port Moody--Coquitlam,13%,32%,21%,34%
Portage--Lisgar,246220,253295,139710,104435,24057,743660,24057,Portage--Lisgar,33%,34%,19%,14%
Portneuf--Jacques-Cartier,150310,219720,223230,212190,59023,805450,59023,Portneuf--Jacques-Cartier,19%,27%,28%,26%
Prince Albert,168450,218180,132585,97110,46007,616325,46007,Prince Albert,27%,35%,22%,16%
Prince Edward Island,242010,374105,330615,275305,24058,1222035,24058,Prince Edward Island,20%,31%,27%,23%
Prince George--Peace River--Northern Rockies,235715,336085,194650,122935,47006,889385,47006,Prince George--Peace River--Northern Rockies,27%,38%,22%,14%
Provencher,218280,287130,165430,116000,11,786840,11,Provencher,28%,36%,21%,15%
Quebec,14553190,16372435,14109630,16878900,59024,61914155,59024,Quebec,24%,26%,23%,27%
