,FED ID,Federal Electoral Districts_x, No Certificate , Secondary School Diploma , Non-university certificate or diploma , University level or above ,ï»¿Province,Party Won
23,24009,BÃ©cancour--Nicolet--Saurel, 0.32 , 0.27 , 0.25 , 0.15 ,Quebec,Bloc QuÃ©bÃ©cois
24,24010,Bellechasse--Les Etchemins--LÃ©vis, 0.24 , 0.27 , 0.27 , 0.22 ,Quebec,Conservative
25,24011,Beloeil--Chambly, 0.19 , 0.27 , 0.26 , 0.28 ,Quebec,NDP
26,24012,Berthier--MaskinongÃ©, 0.34 , 0.30 , 0.23 , 0.13 ,Quebec,NDP
27,10002,Bonavista--Burin--Trinity, 0.35 , 0.30 , 0.27 , 0.08 ,Newfoundland and Labrador,Liberal
28,24015,Bourassa, 0.35 , 0.28 , 0.18 , 0.19 ,Quebec,Liberal
29,48003,Bow River, 0.28 , 0.36 , 0.22 , 0.14 ,Alberta,Conservative
30,35008,Brampton Centre, 0.20 , 0.35 , 0.22 , 0.22 ,Ontario,Liberal
31,35009,Brampton East, 0.22 , 0.32 , 0.16 , 0.29 ,Ontario,Liberal
32,35010,Brampton North, 0.20 , 0.33 , 0.21 , 0.26 ,Ontario,Liberal
33,35011,Brampton South, 0.19 , 0.31 , 0.21 , 0.29 ,Ontario,Liberal
34,35012,Brampton West, 0.17 , 0.31 , 0.21 , 0.30 ,Ontario,Liberal
35,46001,Brandon--Souris, 0.23 , 0.36 , 0.23 , 0.18 ,Manitoba,Conservative
36,35013,Brantford--Brant, 0.21 , 0.35 , 0.28 , 0.16 ,Ontario,Conservative
37,24016,Brome--Missisquoi, 0.27 , 0.31 , 0.21 , 0.22 ,Quebec,Liberal
38,24017,Brossard--Saint-Lambert, 0.14 , 0.23 , 0.21 , 0.42 ,Quebec,Liberal
39,35014,Bruce--Grey--Owen Sound, 0.25 , 0.33 , 0.28 , 0.15 ,Ontario,Conservative
40,35015,Burlington, 0.13 , 0.29 , 0.27 , 0.31 ,Ontario,Liberal
41,59002,Burnaby North--Seymour, 0.12 , 0.32 , 0.19 , 0.37 ,British Columba,Liberal
42,59003,Burnaby South, 0.12 , 0.29 , 0.19 , 0.41 ,British Columba,NDP
43,48004,Calgary Centre, 0.07 , 0.21 , 0.16 , 0.55 ,Alberta,Liberal
44,48005,Calgary Confederation, 0.09 , 0.23 , 0.17 , 0.51 ,Alberta,Conservative
45,48006,Calgary Forest Lawn, 0.28 , 0.37 , 0.19 , 0.16 ,Alberta,Conservative
46,48007,Calgary Heritage, 0.12 , 0.29 , 0.21 , 0.38 ,Alberta,Conservative
47,48008,Calgary Midnapore, 0.13 , 0.31 , 0.23 , 0.33 ,Alberta,Conservative
48,48009,Calgary Nose Hill, 0.15 , 0.30 , 0.20 , 0.35 ,Alberta,Conservative
49,48010,Calgary Rocky Ridge, 0.10 , 0.24 , 0.21 , 0.45 ,Alberta,Conservative
50,48011,Calgary Shepard, 0.15 , 0.31 , 0.24 , 0.30 ,Alberta,Conservative
51,48012,Calgary Signal Hill, 0.11 , 0.24 , 0.18 , 0.46 ,Alberta,Conservative
52,48013,Calgary Skyview, 0.21 , 0.34 , 0.18 , 0.27 ,Alberta,Liberal
53,35016,Cambridge, 0.23 , 0.35 , 0.25 , 0.17 ,Ontario,Liberal
54,12001,Cape Breton--Canso, 0.26 , 0.29 , 0.28 , 0.17 ,Nova Scotia,Liberal
